时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 14:10,外地来沪人员,101,0,1,27
2020/02/13 14:10,浦东新区,56,0,0,12
2020/02/13 14:10,宝山区,20,0,0,1
2020/02/13 14:10,闵行区,18,0,0,4
2020/02/13 14:10,徐汇区,17,0,0,2
2020/02/13 14:10,静安区,16,0,0,3
2020/02/13 14:10,松江区,14,0,0,1
2020/02/13 14:10,长宁区,13,0,0,3
2020/02/13 14:10,普陀区,11,0,0,0
2020/02/13 14:10,奉贤区,9,0,0,1
2020/02/13 14:10,杨浦区,8,0,0,1
2020/02/13 14:10,嘉定区,8,0,0,1
2020/02/13 14:10,虹口区,7,0,0,2
2020/02/13 14:10,黄浦区,6,0,0,1
2020/02/13 14:10,青浦区,5,0,0,2
2020/02/13 14:10,金山区,3,0,0,1
2020/02/13 14:10,崇明区,3,0,0,0
2020/02/13 13:38,外地来沪人员,101,0,1,26
2020/02/13 13:38,浦东新区,56,0,0,12
2020/02/13 13:38,宝山区,20,0,0,0
2020/02/13 13:38,闵行区,18,0,0,3
2020/02/13 13:38,徐汇区,17,0,0,2
2020/02/13 13:38,静安区,16,0,0,3
2020/02/13 13:38,松江区,14,0,0,1
2020/02/13 13:38,长宁区,13,0,0,3
2020/02/13 13:38,普陀区,11,0,0,0
2020/02/13 13:38,奉贤区,9,0,0,1
2020/02/13 13:38,杨浦区,8,0,0,0
2020/02/13 13:38,嘉定区,8,0,0,1
2020/02/13 13:38,虹口区,7,0,0,2
2020/02/13 13:38,黄浦区,6,0,0,1
2020/02/13 13:38,青浦区,5,0,0,2
2020/02/13 13:38,金山区,3,0,0,0
2020/02/13 13:38,崇明区,3,0,0,0
2020/02/13 08:10,外地来沪人员,99,0,1,26
2020/02/13 08:10,浦东新区,56,0,0,12
2020/02/13 08:10,宝山区,20,0,0,0
2020/02/13 08:10,闵行区,18,0,0,3
2020/02/13 08:10,徐汇区,17,0,0,2
2020/02/13 08:10,静安区,16,0,0,3
2020/02/13 08:10,松江区,14,0,0,1
2020/02/13 08:10,长宁区,13,0,0,3
2020/02/13 08:10,普陀区,11,0,0,0
2020/02/13 08:10,奉贤区,9,0,0,1
2020/02/13 08:10,杨浦区,8,0,0,0
2020/02/13 08:10,嘉定区,8,0,0,1
2020/02/13 08:10,虹口区,7,0,0,2
2020/02/13 08:10,黄浦区,6,0,0,1
2020/02/13 08:10,青浦区,5,0,0,2
2020/02/13 08:10,金山区,3,0,0,0
2020/02/13 08:10,崇明区,3,0,0,0
2020/02/13 00:19,外地来沪人员,99,0,1,26
2020/02/13 00:19,浦东新区,56,0,0,12
2020/02/13 00:19,宝山区,20,0,0,0
2020/02/13 00:19,闵行区,18,0,0,3
2020/02/13 00:19,徐汇区,17,0,0,2
2020/02/13 00:19,静安区,16,0,0,3
2020/02/13 00:19,松江区,14,0,0,1
2020/02/13 00:19,长宁区,12,0,0,3
2020/02/13 00:19,普陀区,11,0,0,0
2020/02/13 00:19,奉贤区,9,0,0,1
2020/02/13 00:19,杨浦区,8,0,0,0
2020/02/13 00:19,嘉定区,8,0,0,1
2020/02/13 00:19,虹口区,7,0,0,2
2020/02/13 00:19,黄浦区,6,0,0,1
2020/02/13 00:19,青浦区,5,0,0,2
2020/02/13 00:19,金山区,3,0,0,0
2020/02/13 00:19,崇明区,2,0,0,0
2020/02/12 16:31,外地来沪人员,99,0,1,26
2020/02/12 16:31,浦东新区,56,0,0,12
2020/02/12 16:31,宝山区,20,0,0,0
2020/02/12 16:31,闵行区,18,0,0,3
2020/02/12 16:31,徐汇区,17,0,0,2
2020/02/12 16:31,静安区,16,0,0,3
2020/02/12 16:31,松江区,14,0,0,1
2020/02/12 16:31,长宁区,12,0,0,3
2020/02/12 16:31,普陀区,11,0,0,0
2020/02/12 16:31,奉贤区,9,0,0,1
2020/02/12 16:31,杨浦区,8,0,0,0
2020/02/12 16:31,嘉定区,8,0,0,1
2020/02/12 16:31,虹口区,7,0,0,2
2020/02/12 16:31,黄浦区,6,0,0,1
2020/02/12 16:31,青浦区,5,0,0,2
2020/02/12 16:31,金山区,3,0,0,0
2020/02/12 16:31,崇明区,2,0,0,0
2020/02/12 14:58,外地来沪人员,99,0,1,26
2020/02/12 14:58,浦东新区,56,0,0,10
2020/02/12 14:58,宝山区,20,0,0,0
