时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 16:28,昆明,48,0,0,7
2020/02/13 16:28,西双版纳,15,0,0,2
2020/02/13 16:28,玉溪,14,0,0,3
2020/02/13 16:28,昭通,14,0,0,2
2020/02/13 16:28,曲靖,13,0,0,1
2020/02/13 16:28,大理州,13,0,0,3
2020/02/13 16:28,保山,9,0,0,0
2020/02/13 16:28,丽江,7,0,0,2
2020/02/13 16:28,红河州,7,0,0,3
2020/02/13 16:28,德宏州,5,0,0,2
2020/02/13 16:28,普洱,4,0,0,0
2020/02/13 16:28,楚雄州,4,0,0,0
2020/02/13 16:28,文山州,2,0,0,0
2020/02/13 16:28,临沧,1,0,0,0
2020/02/13 11:57,昆明,47,0,0,7
2020/02/13 11:57,西双版纳,15,0,0,2
2020/02/13 11:57,玉溪,14,0,0,3
2020/02/13 11:57,昭通,14,0,0,2
2020/02/13 11:57,曲靖,13,0,0,1
2020/02/13 11:57,大理州,13,0,0,3
2020/02/13 11:57,保山,9,0,0,0
2020/02/13 11:57,丽江,7,0,0,2
2020/02/13 11:57,红河州,7,0,0,3
2020/02/13 11:57,德宏州,5,0,0,2
2020/02/13 11:57,普洱,4,0,0,0
2020/02/13 11:57,楚雄州,4,0,0,0
2020/02/13 11:57,文山州,2,0,0,0
2020/02/13 11:57,临沧,1,0,0,0
2020/02/13 10:49,昆明,47,0,0,7
2020/02/13 10:49,西双版纳,15,0,0,2
2020/02/13 10:49,玉溪,14,0,0,3
2020/02/13 10:49,昭通,14,0,0,2
2020/02/13 10:49,曲靖,13,0,0,1
2020/02/13 10:49,大理州,13,0,0,3
2020/02/13 10:49,保山,9,0,0,0
2020/02/13 10:49,丽江,7,0,0,2
2020/02/13 10:49,红河州,7,0,0,3
2020/02/13 10:49,德宏州,5,0,0,0
2020/02/13 10:49,普洱,4,0,0,0
2020/02/13 10:49,楚雄州,4,0,0,0
2020/02/13 10:49,文山州,2,0,0,0
2020/02/13 10:49,临沧,1,0,0,0
2020/02/13 00:19,昆明,46,0,0,7
2020/02/13 00:19,西双版纳,15,0,0,2
2020/02/13 00:19,玉溪,14,0,0,3
2020/02/13 00:19,昭通,14,0,0,2
2020/02/13 00:19,曲靖,13,0,0,1
2020/02/13 00:19,大理州,13,0,0,3
2020/02/13 00:19,保山,9,0,0,0
2020/02/13 00:19,丽江,7,0,0,2
2020/02/13 00:19,红河州,7,0,0,3
2020/02/13 00:19,德宏州,5,0,0,2
2020/02/13 00:19,普洱,4,0,0,0
2020/02/13 00:19,楚雄州,4,0,0,0
2020/02/13 00:19,文山州,2,0,0,0
2020/02/13 00:19,临沧,1,0,0,0
2020/02/13 00:19,待明确地区,0,0,0,1
2020/02/12 22:07,昆明,46,0,0,7
2020/02/12 22:07,西双版纳,15,0,0,2
2020/02/12 22:07,玉溪,14,0,0,3
2020/02/12 22:07,昭通,14,0,0,2
2020/02/12 22:07,曲靖,13,0,0,1
2020/02/12 22:07,大理州,13,0,0,3
2020/02/12 22:07,保山,9,0,0,0
2020/02/12 22:07,丽江,7,0,0,2
2020/02/12 22:07,红河州,7,0,0,3
2020/02/12 22:07,德宏州,5,0,0,2
2020/02/12 22:07,普洱,4,0,0,0
2020/02/12 22:07,楚雄州,4,0,0,0
2020/02/12 22:07,文山州,2,0,0,0
2020/02/12 22:07,临沧,1,0,0,0
2020/02/12 22:07,待明确地区,0,0,0,1
2020/02/12 20:15,昆明,46,0,0,7
2020/02/12 20:15,西双版纳,15,0,0,2
2020/02/12 20:15,玉溪,14,0,0,3
2020/02/12 20:15,昭通,14,0,0,2
2020/02/12 20:15,曲靖,13,0,0,1
2020/02/12 20:15,大理州,13,0,0,2
2020/02/12 20:15,保山,9,0,0,0
2020/02/12 20:15,丽江,7,0,0,2
2020/02/12 20:15,红河州,7,0,0,3
2020/02/12 20:15,德宏州,5,0,0,2
2020/02/12 20:15,普洱,4,0,0,0
2020/02/12 20:15,楚雄州,4,0,0,0
2020/02/12 20:15,文山州,2,0,0,0
2020/02/12 20:15,临沧,1,0,0,0
2020/02/12 20:15,待明确地区,0,0,0,1
2020/02/12 18:03,昆明,46,0,0,7
2020/02/12 18:03,西双版纳,15,0,0,2
2020/02/12 18:03,玉溪,14,0,0,3
2020/02/12 18:03,昭通,14,0,0,2
2020/02/12 18:03,曲靖,13,0,0,1
2020/02/12 18:03,大理州,13,0,0,2
2020/02/12 18:03,保山,9,0,0,0
2020/02/12 18:03,丽江,7,0,0,2
2020/02/12 18:03,红河州,7,0,0,3
2020/02/12 18:03,德宏州,5,0,0,0
2020/02/12 18:03,普洱,4,0,0,0
2020/02/12 18:03,楚雄州,4,0,0,0
2020/02/12 18:03,文山州,2,0,0,0
2020/02/12 18:03,临沧,1,0,0,0
2020/02/12 18:03,待明确地区,0,0,0,1
2020/02/12 16:00,昆明,46,0,0,7
2020/02/12 16:00,西双版纳,15,0,0,2
2020/02/12 16:00,玉溪,14,0,0,3
2020/02/12 16:00,昭通,14,0,0,2
2020/02/12 16:00,曲靖,13,0,0,1
2020/02/12 16:00,大理州,13,0,0,2
2020/02/12 16:00,保山,9,0,0,0
2020/02/12 16:00,丽江,7,0,0,2
2020/02/12 16:00,红河州,7,0,0,3
2020/02/12 16:00,德宏州,5,0,0,0
2020/02/12 16:00,普洱,4,0,0,0
2020/02/12 16:00,楚雄州,4,0,0,0
2020/02/12 16:00,文山州,2,0,0,0
2020/02/12 16:00,临沧,1,0,0,0
2020/02/12 14:58,昆明,46,0,0,6
2020/02/12 14:58,西双版纳,15,0,0,2
2020/02/12 14:58,玉溪,14,0,0,3
2020/02/12 14:58,昭通,14,0,0,2
2020/02/12 14:58,曲靖,13,0,0,1
2020/02/12 14:58,大理州,13,0,0,2
2020/02/12 14:58,保山,9,0,0,0
2020/02/12 14:58,丽江,7,0,0,2
2020/02/12 14:58,红河州,7,0,0,3
2020/02/12 14:58,德宏州,5,0,0,0
2020/02/12 14:58,普洱,4,0,0,0
2020/02/12 14:58,楚雄州,4,0,0,0
2020/02/12 14:58,文山州,2,0,0,0
2020/02/12 14:58,临沧,1,0,0,0
2020/02/12 11:30,昆明,46,0,0,6
2020/02/12 11:30,西双版纳,15,0,0,2
2020/02/12 11:30,玉溪,14,0,0,3
2020/02/12 11:30,昭通,14,0,0,2
2020/02/12 11:30,曲靖,13,0,0,1
2020/02/12 11:30,大理州,13,0,0,2
2020/02/12 11:30,保山,9,0,0,0
2020/02/12 11:30,丽江,7,0,0,2
2020/02/12 11:30,红河州,7,0,0,3
2020/02/12 11:30,德宏州,5,0,0,0
2020/02/12 11:30,普洱,4,0,0,0
2020/02/12 11:30,楚雄州,4,0,0,0
2020/02/12 11:30,文山州,2,0,0,0
2020/02/12 11:30,临沧,1,0,0,0
2020/02/12 09:43,昆明,46,0,0,6
2020/02/12 09:43,西双版纳,15,0,0,2
2020/02/12 09:43,玉溪,14,0,0,2
2020/02/12 09:43,昭通,14,0,0,1
2020/02/12 09:43,曲靖,13,0,0,1
2020/02/12 09:43,大理州,13,0,0,2
2020/02/12 09:43,保山,9,0,0,0
2020/02/12 09:43,丽江,7,0,0,2
2020/02/12 09:43,红河州,7,0,0,2
2020/02/12 09:43,德宏州,5,0,0,0
2020/02/12 09:43,普洱,4,0,0,0
2020/02/12 09:43,楚雄州,4,0,0,0
2020/02/12 09:43,文山州,2,0,0,0
2020/02/12 09:43,临沧,1,0,0,0
2020/02/12 09:43,待明确地区,0,0,0,2
2020/02/11 17:14,昆明,46,0,0,6
2020/02/11 17:14,西双版纳,15,0,0,2
2020/02/11 17:14,玉溪,14,0,0,2
2020/02/11 17:14,昭通,14,0,0,1
2020/02/11 17:14,曲靖,13,0,0,1
2020/02/11 17:14,大理州,13,0,0,2
2020/02/11 17:14,保山,9,0,0,0
2020/02/11 17:14,丽江,7,0,0,2
2020/02/11 17:14,红河州,6,0,0,2
2020/02/11 17:14,德宏州,5,0,0,0
2020/02/11 17:14,普洱,4,0,0,0
2020/02/11 17:14,楚雄州,4,0,0,0
2020/02/11 17:14,文山州,2,0,0,0
2020/02/11 17:14,临沧,1,0,0,0
2020/02/11 17:14,待明确地区,0,0,0,2
2020/02/11 17:08,昆明,46,0,0,6
2020/02/11 17:08,西双版纳,15,0,0,2
2020/02/11 17:08,玉溪,14,0,0,2
2020/02/11 17:08,昭通,14,0,0,1
2020/02/11 17:08,曲靖,13,0,0,1
2020/02/11 17:08,大理州,13,0,0,2
2020/02/11 17:08,保山,9,0,0,0
2020/02/11 17:08,丽江,7,0,0,2
2020/02/11 17:08,红河州,6,0,0,2
2020/02/11 17:08,德宏州,5,0,0,0
2020/02/11 17:08,普洱,4,0,0,0
2020/02/11 17:08,楚雄州,4,0,0,0
2020/02/11 17:08,文山州,2,0,0,0
2020/02/11 17:08,临沧,1,0,0,0
2020/02/11 17:08,待明确地区,0,0,0,1
2020/02/11 11:48,昆明,45,0,0,6
2020/02/11 11:48,西双版纳,15,0,0,2
2020/02/11 11:48,玉溪,14,0,0,2
2020/02/11 11:48,大理州,13,0,0,2
2020/02/11 11:48,昭通,12,0,0,1
2020/02/11 11:48,曲靖,12,0,0,1
2020/02/11 11:48,保山,9,0,0,0
2020/02/11 11:48,丽江,7,0,0,2
2020/02/11 11:48,红河州,6,0,0,2
2020/02/11 11:48,德宏州,5,0,0,0
2020/02/11 11:48,普洱,4,0,0,0
2020/02/11 11:48,楚雄州,4,0,0,0
2020/02/11 11:48,文山州,2,0,0,0
2020/02/11 11:48,临沧,1,0,0,0
2020/02/11 11:48,待明确地区,0,0,0,1
2020/02/10 17:35,昆明,45,0,0,6
2020/02/10 17:35,西双版纳,15,0,0,2
2020/02/10 17:35,玉溪,14,0,0,2
2020/02/10 17:35,大理,13,0,0,2
2020/02/10 17:35,昭通,12,0,0,1
2020/02/10 17:35,曲靖,12,0,0,1
2020/02/10 17:35,保山,9,0,0,0
2020/02/10 17:35,丽江,7,0,0,2
2020/02/10 17:35,红河,6,0,0,2
2020/02/10 17:35,德宏,5,0,0,0
2020/02/10 17:35,普洱,4,0,0,0
2020/02/10 17:35,楚雄,4,0,0,0
2020/02/10 17:35,文山,2,0,0,0
2020/02/10 17:35,临沧,1,0,0,0
2020/02/10 17:35,待明确地区,0,0,0,1
2020/02/10 12:55,昆明,42,0,0,6
2020/02/10 12:55,西双版纳,15,0,0,2
2020/02/10 12:55,玉溪,14,0,0,2
2020/02/10 12:55,昭通,12,0,0,1
2020/02/10 12:55,曲靖,11,0,0,1
2020/02/10 12:55,大理,11,0,0,2
2020/02/10 12:55,保山,9,0,0,0
2020/02/10 12:55,丽江,7,0,0,2
2020/02/10 12:55,红河,5,0,0,2
2020/02/10 12:55,德宏,5,0,0,0
2020/02/10 12:55,普洱,4,0,0,0
2020/02/10 12:55,楚雄,4,0,0,0
2020/02/10 12:55,临沧,1,0,0,0
2020/02/10 12:55,文山,1,0,0,0
2020/02/10 12:55,待明确地区,0,0,0,1
2020/02/10 12:54,昆明,42,0,0,6
2020/02/10 12:54,西双版纳,15,0,0,2
2020/02/10 12:54,玉溪,14,0,0,2
2020/02/10 12:54,昭通,12,0,0,1
2020/02/10 12:54,曲靖,11,0,0,1
2020/02/10 12:54,大理,11,0,0,2
2020/02/10 12:54,保山,9,0,0,0
2020/02/10 12:54,丽江,7,0,0,2
2020/02/10 12:54,红河,5,0,0,2
2020/02/10 12:54,德宏,5,0,0,0
2020/02/10 12:54,普洱,4,0,0,0
2020/02/10 12:54,楚雄,4,0,0,0
2020/02/10 12:54,临沧,1,0,0,0
2020/02/10 12:54,文山,1,0,0,0
2020/02/10 12:54,待明确地区,0,0,0,1
2020/02/10 08:47,昆明,42,0,0,6
2020/02/10 08:47,西双版纳,15,0,0,2
2020/02/10 08:47,玉溪,14,0,0,2
2020/02/10 08:47,昭通,12,0,0,1
2020/02/10 08:47,曲靖,11,0,0,1
2020/02/10 08:47,大理,11,0,0,2
2020/02/10 08:47,保山,9,0,0,0
2020/02/10 08:47,丽江,7,0,0,1
2020/02/10 08:47,红河,5,0,0,2
2020/02/10 08:47,德宏,5,0,0,0
2020/02/10 08:47,普洱,4,0,0,0
2020/02/10 08:47,楚雄,4,0,0,0
2020/02/10 08:47,临沧,1,0,0,0
2020/02/10 08:47,文山,1,0,0,0
2020/02/10 08:47,待明确地区,0,0,0,2
2020/02/09 16:52,昆明,42,0,0,6
2020/02/09 16:52,西双版纳,15,0,0,2
2020/02/09 16:52,玉溪,14,0,0,2
2020/02/09 16:52,昭通,12,0,0,1
2020/02/09 16:52,曲靖,11,0,0,1
2020/02/09 16:52,大理,11,0,0,2
2020/02/09 16:52,保山,9,0,0,0
2020/02/09 16:52,丽江,7,0,0,1
2020/02/09 16:52,红河,5,0,0,2
2020/02/09 16:52,德宏,5,0,0,0
2020/02/09 16:52,普洱,4,0,0,0
2020/02/09 16:52,楚雄,4,0,0,0
2020/02/09 16:52,临沧,1,0,0,0
2020/02/09 16:52,文山,1,0,0,0
2020/02/09 16:52,待明确地区,0,0,0,1
2020/02/09 15:54,昆明,42,0,0,6
2020/02/09 15:54,西双版纳,15,0,0,2
