时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 09:18,鄂尔多斯,11,0,0,2
2020/02/13 09:18,包头,11,0,0,0
2020/02/13 09:18,呼和浩特,7,0,0,0
2020/02/13 09:18,呼伦贝尔,6,0,0,1
2020/02/13 09:18,通辽,6,0,0,0
2020/02/13 09:18,巴彦淖尔,6,0,0,0
2020/02/13 09:18,赤峰,5,0,0,2
2020/02/13 09:18,锡林郭勒盟,3,0,0,1
2020/02/13 09:18,乌兰察布,3,0,0,0
2020/02/13 09:18,乌海市,2,0,0,0
2020/02/13 09:18,兴安盟,1,0,0,0
2020/02/13 00:19,鄂尔多斯,11,0,0,2
2020/02/13 00:19,包头,11,0,0,0
2020/02/13 00:19,呼和浩特,7,0,0,0
2020/02/13 00:19,呼伦贝尔,6,0,0,1
2020/02/13 00:19,通辽,6,0,0,0
2020/02/13 00:19,巴彦淖尔,6,0,0,0
2020/02/13 00:19,赤峰,5,0,0,2
2020/02/13 00:19,乌兰察布,3,0,0,0
2020/02/13 00:19,锡林郭勒盟,2,0,0,1
2020/02/13 00:19,乌海市,2,0,0,0
2020/02/13 00:19,兴安盟,1,0,0,0
2020/02/12 19:08,鄂尔多斯,11,0,0,2
2020/02/12 19:08,包头,11,0,0,0
2020/02/12 19:08,呼和浩特,7,0,0,0
2020/02/12 19:08,呼伦贝尔,6,0,0,1
2020/02/12 19:08,通辽,6,0,0,0
2020/02/12 19:08,巴彦淖尔,6,0,0,0
2020/02/12 19:08,赤峰,5,0,0,2
2020/02/12 19:08,乌兰察布,3,0,0,0
2020/02/12 19:08,锡林郭勒盟,2,0,0,1
2020/02/12 19:08,乌海市,2,0,0,0
2020/02/12 19:08,兴安盟,1,0,0,0
2020/02/12 14:58,鄂尔多斯,11,0,0,2
2020/02/12 14:58,包头,11,0,0,0
2020/02/12 14:58,呼和浩特,7,0,0,0
2020/02/12 14:58,呼伦贝尔,6,0,0,1
2020/02/12 14:58,通辽,6,0,0,0
2020/02/12 14:58,巴彦淖尔,6,0,0,0
