时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 10:30,朝阳区,56,0,0,0
2020/02/13 10:30,海淀区,56,0,0,0
2020/02/13 10:30,西城区,46,0,0,0
2020/02/13 10:30,大兴区,38,0,0,2
2020/02/13 10:30,丰台区,36,0,0,3
2020/02/13 10:30,外地来京人员,26,0,0,2
2020/02/13 10:30,昌平区,24,0,0,0
2020/02/13 10:30,通州区,17,0,0,1
2020/02/13 10:30,房山区,14,0,0,0
2020/02/13 10:30,石景山区,13,0,0,0
2020/02/13 10:30,东城区,12,0,0,0
2020/02/13 10:30,顺义区,10,0,0,0
2020/02/13 10:30,怀柔区,7,0,0,0
2020/02/13 10:30,密云区,7,0,0,0
2020/02/13 10:30,门头沟区,3,0,0,0
2020/02/13 10:30,延庆区,1,0,0,0
2020/02/13 10:30,待明确地区,0,0,3,60
2020/02/13 00:19,朝阳区,56,0,0,0
2020/02/13 00:19,海淀区,56,0,0,0
2020/02/13 00:19,西城区,43,0,0,0
2020/02/13 00:19,大兴区,37,0,0,2
2020/02/13 00:19,丰台区,32,0,0,3
2020/02/13 00:19,外地来京人员,25,0,0,2
2020/02/13 00:19,昌平区,19,0,0,0
2020/02/13 00:19,通州区,17,0,0,1
2020/02/13 00:19,房山区,14,0,0,0
2020/02/13 00:19,石景山区,13,0,0,0
2020/02/13 00:19,东城区,12,0,0,0
2020/02/13 00:19,顺义区,10,0,0,0
2020/02/13 00:19,怀柔区,7,0,0,0
2020/02/13 00:19,密云区,7,0,0,0
2020/02/13 00:19,门头沟区,3,0,0,0
2020/02/13 00:19,延庆区,1,0,0,0
2020/02/13 00:19,待明确地区,0,0,3,48
2020/02/12 14:58,朝阳区,56,0,0,0
2020/02/12 14:58,海淀区,56,0,0,0
2020/02/12 14:58,西城区,43,0,0,0
2020/02/12 14:58,大兴区,37,0,0,2
2020/02/12 14:58,丰台区,32,0,0,3
2020/02/12 14:58,外地来京人员,25,0,0,2
2020/02/12 14:58,昌平区,19,0,0,0
2020/02/12 14:58,通州区,17,0,0,1
2020/02/12 14:58,房山区,14,0,0,0
2020/02/12 14:58,石景山区,13,0,0,0
2020/02/12 14:58,东城区,12,0,0,0
2020/02/12 14:58,顺义区,10,0,0,0
2020/02/12 14:58,怀柔区,7,0,0,0
2020/02/12 14:58,密云区,7,0,0,0
2020/02/12 14:58,门头沟区,3,0,0,0
2020/02/12 14:58,延庆区,1,0,0,0
2020/02/12 14:58,待明确地区,0,0,3,48
2020/02/12 10:35,朝阳区,56,0,0,0
2020/02/12 10:35,海淀区,56,0,0,0
2020/02/12 10:35,西城区,43,0,0,0
2020/02/12 10:35,大兴区,37,0,0,2
2020/02/12 10:35,丰台区,32,0,0,3
2020/02/12 10:35,外地来京人员,25,0,0,2
2020/02/12 10:35,昌平区,19,0,0,0
2020/02/12 10:35,通州区,17,0,0,1
2020/02/12 10:35,房山区,14,0,0,0
2020/02/12 10:35,石景山区,13,0,0,0
2020/02/12 10:35,东城区,12,0,0,0
2020/02/12 10:35,顺义区,10,0,0,0
2020/02/12 10:35,怀柔区,7,0,0,0
2020/02/12 10:35,密云区,7,0,0,0
2020/02/12 10:35,门头沟区,3,0,0,0
2020/02/12 10:35,延庆区,1,0,0,0
2020/02/12 10:35,待明确地区,0,0,3,48
2020/02/11 10:55,海淀区,57,0,0,0
2020/02/11 10:55,朝阳区,56,0,0,0
2020/02/11 10:55,西城区,39,0,0,0
2020/02/11 10:55,大兴区,36,0,0,2
2020/02/11 10:55,丰台区,30,0,0,3
2020/02/11 10:55,外地来京人员,25,0,0,2
2020/02/11 10:55,昌平区,19,0,0,0
2020/02/11 10:55,通州区,17,0,0,1
2020/02/11 10:55,房山区,14,0,0,0
2020/02/11 10:55,石景山区,13,0,0,0
2020/02/11 10:55,顺义区,10,0,0,0
2020/02/11 10:55,东城区,9,0,0,0
2020/02/11 10:55,怀柔区,7,0,0,0
2020/02/11 10:55,密云区,6,0,0,0
2020/02/11 10:55,门头沟区,3,0,0,0
2020/02/11 10:55,延庆区,1,0,0,0
2020/02/11 10:55,待明确地区,0,0,3,40
2020/02/10 11:12,朝阳区,56,0,0,0
2020/02/10 11:12,海淀区,54,0,0,0
2020/02/10 11:12,西城区,39,0,0,0
2020/02/10 11:12,大兴区,36,0,0,2
2020/02/10 11:12,丰台区,30,0,0,3
2020/02/10 11:12,外地来京人员,25,0,0,2
2020/02/10 11:12,昌平区,18,0,0,0
2020/02/10 11:12,通州区,16,0,0,1
2020/02/10 11:12,房山区,14,0,0,0
2020/02/10 11:12,石景山区,13,0,0,0
2020/02/10 11:12,顺义区,10,0,0,0
2020/02/10 11:12,东城区,9,0,0,0
2020/02/10 11:12,怀柔区,7,0,0,0
2020/02/10 11:12,密云区,6,0,0,0
2020/02/10 11:12,门头沟区,3,0,0,0
2020/02/10 11:12,延庆区,1,0,0,0
2020/02/10 11:12,待明确地区,0,0,2,36
2020/02/09 11:47,朝阳区,55,0,0,0
2020/02/09 11:47,海淀区,52,0,0,0
2020/02/09 11:47,西城区,38,0,0,0
2020/02/09 11:47,大兴区,35,0,0,2
2020/02/09 11:47,丰台区,27,0,0,3
2020/02/09 11:47,外地来京人员,24,0,0,2
2020/02/09 11:47,昌平区,17,0,0,0
2020/02/09 11:47,通州区,16,0,0,1
2020/02/09 11:47,房山区,14,0,0,0
2020/02/09 11:47,石景山区,13,0,0,0
2020/02/09 11:47,顺义区,10,0,0,0
2020/02/09 11:47,东城区,9,0,0,0
2020/02/09 11:47,怀柔区,7,0,0,0
2020/02/09 11:47,密云区,5,0,0,0
2020/02/09 11:47,门头沟区,3,0,0,0
2020/02/09 11:47,延庆区,1,0,0,0
2020/02/09 11:47,待明确地区,0,0,2,29
2020/02/09 11:46,朝阳区,55,0,0,0
2020/02/09 11:46,海淀区,52,0,0,0
2020/02/09 11:46,西城区,38,0,0,0
2020/02/09 11:46,大兴区,35,0,0,2
2020/02/09 11:46,丰台区,27,0,0,3
2020/02/09 11:46,外地来京人员,24,0,0,2
2020/02/09 11:46,昌平区,17,0,0,0
2020/02/09 11:46,通州区,16,0,0,1
2020/02/09 11:46,房山区,14,0,0,0
2020/02/09 11:46,石景山区,13,0,0,0
2020/02/09 11:46,顺义区,10,0,0,0
2020/02/09 11:46,东城区,9,0,0,0
2020/02/09 11:46,怀柔区,7,0,0,0
2020/02/09 11:46,密云区,5,0,0,0
2020/02/09 11:46,门头沟区,3,0,0,0
2020/02/09 11:46,延庆区,1,0,0,0
2020/02/09 11:46,待明确地区,0,0,2,33
2020/02/09 11:43,朝阳区,55,0,0,0
2020/02/09 11:43,海淀区,52,0,0,0
2020/02/09 11:43,西城区,38,0,0,0
2020/02/09 11:43,大兴区,35,0,0,2
2020/02/09 11:43,丰台区,27,0,0,3
2020/02/09 11:43,外地来京人员,24,0,0,2
2020/02/09 11:43,昌平区,17,0,0,0
2020/02/09 11:43,通州区,16,0,0,1
2020/02/09 11:43,房山区,14,0,0,0
2020/02/09 11:43,石景山区,13,0,0,0
2020/02/09 11:43,顺义区,10,0,0,0
2020/02/09 11:43,东城区,9,0,0,0
2020/02/09 11:43,怀柔区,7,0,0,0
2020/02/09 11:43,密云区,5,0,0,0
2020/02/09 11:43,门头沟区,3,0,0,0
2020/02/09 11:43,延庆区,1,0,0,0
2020/02/09 11:43,待明确地区,0,0,2,33
2020/02/09 11:41,朝阳区,55,0,0,0
2020/02/09 11:41,海淀区,52,0,0,0
2020/02/09 11:41,西城区,38,0,0,0
2020/02/09 11:41,大兴区,35,0,0,2
2020/02/09 11:41,丰台区,27,0,0,0
2020/02/09 11:41,外地来京人员,24,0,0,2
2020/02/09 11:41,昌平区,17,0,0,0
2020/02/09 11:41,通州区,16,0,0,0
2020/02/09 11:41,房山区,14,0,0,0
2020/02/09 11:41,石景山区,13,0,0,0
2020/02/09 11:41,顺义区,10,0,0,0
2020/02/09 11:41,东城区,9,0,0,0
2020/02/09 11:41,怀柔区,7,0,0,0
2020/02/09 11:41,密云区,5,0,0,0
2020/02/09 11:41,门头沟区,3,0,0,0
2020/02/09 11:41,延庆区,1,0,0,0
2020/02/09 11:41,待明确地区,0,0,2,33
2020/02/09 11:38,朝阳区,53,0,0,0
2020/02/09 11:38,海淀区,49,0,0,0
2020/02/09 11:38,西城区,37,0,0,0
2020/02/09 11:38,大兴区,34,0,0,2
2020/02/09 11:38,丰台区,26,0,0,3
2020/02/09 11:38,外地来京人员,25,0,0,2
2020/02/09 11:38,昌平区,17,0,0,0
2020/02/09 11:38,通州区,15,0,0,1
2020/02/09 11:38,房山区,14,0,0,0
2020/02/09 11:38,石景山区,13,0,0,0
2020/02/09 11:38,顺义区,9,0,0,0
2020/02/09 11:38,东城区,8,0,0,0
2020/02/09 11:38,怀柔区,7,0,0,0
2020/02/09 11:38,密云区,4,0,0,0
2020/02/09 11:38,门头沟区,3,0,0,0
2020/02/09 11:38,延庆区,1,0,0,0
2020/02/09 11:38,待明确地区,0,0,2,30
