时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 08:20,长春,42,0,0,11
2020/02/13 08:20,四平市,13,0,1,2
2020/02/13 08:20,公主岭,6,0,0,2
2020/02/13 08:20,辽源,6,0,0,1
2020/02/13 08:20,吉林市,5,0,0,3
2020/02/13 08:20,延边,5,0,0,2
2020/02/13 08:20,通化,3,0,0,0
2020/02/13 08:20,松原,2,0,0,1
2020/02/13 08:20,梅河口,1,0,0,0
2020/02/13 08:20,白城,1,0,0,0
2020/02/13 00:19,长春,42,0,0,11
2020/02/13 00:19,四平市,12,0,1,2
2020/02/13 00:19,公主岭,6,0,0,2
2020/02/13 00:19,辽源,6,0,0,1
2020/02/13 00:19,吉林市,5,0,0,3
2020/02/13 00:19,延边,5,0,0,2
2020/02/13 00:19,通化,3,0,0,0
2020/02/13 00:19,松原,2,0,0,1
2020/02/13 00:19,梅河口,1,0,0,0
2020/02/13 00:19,白城,1,0,0,0
2020/02/12 22:07,长春,42,0,0,11
2020/02/12 22:07,四平市,12,0,1,2
2020/02/12 22:07,公主岭,6,0,0,2
2020/02/12 22:07,辽源,6,0,0,1
2020/02/12 22:07,吉林市,5,0,0,3
2020/02/12 22:07,延边,5,0,0,2
2020/02/12 22:07,通化,3,0,0,0
2020/02/12 22:07,松原,2,0,0,1
2020/02/12 22:07,梅河口,1,0,0,0
2020/02/12 22:07,白城,1,0,0,0
2020/02/12 19:08,长春,42,0,0,11
2020/02/12 19:08,四平市,12,0,1,2
2020/02/12 19:08,公主岭,6,0,0,1
2020/02/12 19:08,辽源,6,0,0,1
2020/02/12 19:08,吉林市,5,0,0,3
2020/02/12 19:08,延边,5,0,0,2
2020/02/12 19:08,通化,3,0,0,0
2020/02/12 19:08,松原,2,0,0,1
2020/02/12 19:08,梅河口,1,0,0,0
2020/02/12 19:08,白城,1,0,0,0
2020/02/12 16:16,长春,42,0,0,11
2020/02/12 16:16,四平市,12,0,1,2
2020/02/12 16:16,公主岭,6,0,0,1
2020/02/12 16:16,辽源,6,0,0,0
2020/02/12 16:16,吉林市,5,0,0,3
2020/02/12 16:16,延边,5,0,0,2
2020/02/12 16:16,通化,3,0,0,0
2020/02/12 16:16,松原,2,0,0,1
2020/02/12 16:16,梅河口,1,0,0,0
2020/02/12 16:16,白城,1,0,0,0
2020/02/12 14:58,长春,42,0,0,11
2020/02/12 14:58,四平市,12,0,1,2
2020/02/12 14:58,公主岭,6,0,0,1
2020/02/12 14:58,辽源,6,0,0,0
2020/02/12 14:58,吉林市,5,0,0,2
2020/02/12 14:58,延边,5,0,0,2
2020/02/12 14:58,通化,3,0,0,0
2020/02/12 14:58,松原,2,0,0,1
2020/02/12 14:58,梅河口,1,0,0,0
2020/02/12 14:58,白城,1,0,0,0
2020/02/12 13:20,长春,42,0,0,11
2020/02/12 13:20,四平市,12,0,1,2
2020/02/12 13:20,公主岭,6,0,0,1
2020/02/12 13:20,辽源,6,0,0,0
2020/02/12 13:20,吉林市,5,0,0,2
2020/02/12 13:20,延边,5,0,0,2
2020/02/12 13:20,通化,3,0,0,0
2020/02/12 13:20,松原,2,0,0,1
2020/02/12 13:20,梅河口,1,0,0,0
2020/02/12 13:20,白城,1,0,0,0
2020/02/12 08:55,长春,42,0,0,11
2020/02/12 08:55,四平市,12,0,1,1
2020/02/12 08:55,公主岭,6,0,0,1
2020/02/12 08:55,辽源,6,0,0,0
2020/02/12 08:55,吉林市,5,0,0,2
2020/02/12 08:55,延边,5,0,0,2
2020/02/12 08:55,通化,3,0,0,0
2020/02/12 08:55,松原,2,0,0,1
2020/02/12 08:55,梅河口,1,0,0,0
2020/02/12 08:55,白城,1,0,0,0
2020/02/11 15:54,长春,40,0,0,11
2020/02/11 15:54,四平市,12,0,1,1
2020/02/11 15:54,公主岭,6,0,0,1
2020/02/11 15:54,辽源,6,0,0,0
2020/02/11 15:54,吉林市,5,0,0,2
2020/02/11 15:54,延边,5,0,0,2
2020/02/11 15:54,通化,3,0,0,0
2020/02/11 15:54,松原,2,0,0,1
2020/02/11 15:54,梅河口,1,0,0,0
2020/02/11 15:54,白城,1,0,0,0
2020/02/11 08:21,长春,40,0,0,6
2020/02/11 08:21,四平市,12,0,1,1
2020/02/11 08:21,公主岭,6,0,0,1
2020/02/11 08:21,辽源,6,0,0,0
2020/02/11 08:21,吉林市,5,0,0,2
2020/02/11 08:21,延边,5,0,0,2
2020/02/11 08:21,通化,3,0,0,0
2020/02/11 08:21,松原,2,0,0,1
2020/02/11 08:21,梅河口,1,0,0,0
2020/02/11 08:21,白城,1,0,0,0
2020/02/11 08:16,长春,40,0,0,6
2020/02/11 08:16,长春,39,0,0,6
2020/02/11 08:16,四平市,12,0,1,1
2020/02/11 08:16,四平市,12,0,1,1
2020/02/11 08:16,公主岭,6,0,0,1
2020/02/11 08:16,辽源,6,0,0,0
2020/02/11 08:16,公主岭,6,0,0,1
2020/02/11 08:16,辽源,6,0,0,0
2020/02/11 08:16,吉林市,5,0,0,2
2020/02/11 08:16,延边,5,0,0,2
2020/02/11 08:16,吉林市,5,0,0,2
