时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 14:10,成都,131,0,1,42
2020/02/13 14:10,甘孜州,37,0,0,3
2020/02/13 14:10,达州,36,0,0,5
2020/02/13 14:10,南充,35,0,0,6
2020/02/13 14:10,广安,30,0,0,5
2020/02/13 14:10,绵阳,22,0,0,4
2020/02/13 14:10,巴中,22,0,0,1
2020/02/13 14:10,内江,21,0,0,3
2020/02/13 14:10,泸州,19,0,0,2
2020/02/13 14:10,德阳,17,0,0,0
2020/02/13 14:10,攀枝花,13,0,0,9
2020/02/13 14:10,宜宾,11,0,0,3
2020/02/13 14:10,遂宁,10,0,0,4
2020/02/13 14:10,凉山州,10,0,0,1
2020/02/13 14:10,自贡,9,0,0,2
2020/02/13 14:10,眉山,8,0,0,2
2020/02/13 14:10,雅安,7,0,0,2
2020/02/13 14:10,广元,6,0,0,1
2020/02/13 14:10,乐山,3,0,0,0
2020/02/13 14:10,资阳,3,0,0,2
2020/02/13 14:10,阿坝州,1,0,0,0
2020/02/13 11:57,成都,131,0,1,42
2020/02/13 11:57,甘孜州,37,0,0,3
2020/02/13 11:57,达州,36,0,0,5
2020/02/13 11:57,南充,35,0,0,5
2020/02/13 11:57,广安,30,0,0,5
2020/02/13 11:57,绵阳,22,0,0,4
2020/02/13 11:57,巴中,22,0,0,1
2020/02/13 11:57,内江,21,0,0,3
2020/02/13 11:57,泸州,19,0,0,2
2020/02/13 11:57,德阳,17,0,0,0
2020/02/13 11:57,攀枝花,13,0,0,9
2020/02/13 11:57,宜宾,11,0,0,3
2020/02/13 11:57,遂宁,10,0,0,4
2020/02/13 11:57,凉山州,10,0,0,1
2020/02/13 11:57,自贡,9,0,0,2
2020/02/13 11:57,眉山,8,0,0,2
2020/02/13 11:57,雅安,7,0,0,2
2020/02/13 11:57,广元,6,0,0,1
2020/02/13 11:57,乐山,3,0,0,0
2020/02/13 11:57,资阳,3,0,0,2
2020/02/13 11:57,阿坝州,1,0,0,0
2020/02/13 08:32,成都,131,0,1,42
2020/02/13 08:32,甘孜州,37,0,0,3
2020/02/13 08:32,达州,36,0,0,5
2020/02/13 08:32,南充,35,0,0,5
2020/02/13 08:32,广安,30,0,0,5
2020/02/13 08:32,绵阳,22,0,0,4
2020/02/13 08:32,巴中,22,0,0,1
2020/02/13 08:32,内江,21,0,0,3
2020/02/13 08:32,泸州,19,0,0,2
2020/02/13 08:32,德阳,17,0,0,0
2020/02/13 08:32,攀枝花,13,0,0,8
2020/02/13 08:32,宜宾,11,0,0,3
2020/02/13 08:32,遂宁,10,0,0,4
2020/02/13 08:32,凉山州,10,0,0,1
2020/02/13 08:32,自贡,9,0,0,2
2020/02/13 08:32,眉山,8,0,0,1
2020/02/13 08:32,雅安,7,0,0,2
2020/02/13 08:32,广元,6,0,0,1
2020/02/13 08:32,乐山,3,0,0,0
2020/02/13 08:32,资阳,3,0,0,1
2020/02/13 08:32,阿坝州,1,0,0,0
2020/02/13 00:19,成都,125,0,1,41
2020/02/13 00:19,甘孜州,36,0,0,3
2020/02/13 00:19,南充,34,0,0,5
2020/02/13 00:19,达州,33,0,0,5
2020/02/13 00:19,广安,30,0,0,5
2020/02/13 00:19,绵阳,22,0,0,4
2020/02/13 00:19,巴中,22,0,0,1
2020/02/13 00:19,内江,20,0,0,3
2020/02/13 00:19,泸州,19,0,0,2
2020/02/13 00:19,德阳,16,0,0,0
2020/02/13 00:19,攀枝花,13,0,0,8
2020/02/13 00:19,遂宁,10,0,0,4
2020/02/13 00:19,宜宾,10,0,0,3
2020/02/13 00:19,凉山州,10,0,0,1
2020/02/13 00:19,自贡,9,0,0,2
2020/02/13 00:19,眉山,8,0,0,1
2020/02/13 00:19,雅安,6,0,0,2
2020/02/13 00:19,广元,6,0,0,1
2020/02/13 00:19,乐山,3,0,0,0
2020/02/13 00:19,资阳,3,0,0,1
2020/02/13 00:19,阿坝州,1,0,0,0
2020/02/12 20:41,成都,125,0,1,41
2020/02/12 20:41,甘孜州,36,0,0,3
2020/02/12 20:41,南充,34,0,0,5
2020/02/12 20:41,达州,33,0,0,5
2020/02/12 20:41,广安,30,0,0,5
2020/02/12 20:41,绵阳,22,0,0,4
2020/02/12 20:41,巴中,22,0,0,1
2020/02/12 20:41,内江,20,0,0,3
2020/02/12 20:41,泸州,19,0,0,2
2020/02/12 20:41,德阳,16,0,0,0
2020/02/12 20:41,攀枝花,13,0,0,8
2020/02/12 20:41,遂宁,10,0,0,4
2020/02/12 20:41,宜宾,10,0,0,3
2020/02/12 20:41,凉山州,10,0,0,1
2020/02/12 20:41,自贡,9,0,0,2
2020/02/12 20:41,眉山,8,0,0,1
2020/02/12 20:41,雅安,6,0,0,2
2020/02/12 20:41,广元,6,0,0,1
2020/02/12 20:41,乐山,3,0,0,0
2020/02/12 20:41,资阳,3,0,0,1
2020/02/12 20:41,阿坝州,1,0,0,0
2020/02/12 18:03,成都,125,0,1,41
2020/02/12 18:03,甘孜州,36,0,0,3
2020/02/12 18:03,南充,34,0,0,5
2020/02/12 18:03,达州,33,0,0,5
2020/02/12 18:03,广安,30,0,0,5
2020/02/12 18:03,绵阳,22,0,0,4
2020/02/12 18:03,巴中,22,0,0,1
2020/02/12 18:03,内江,20,0,0,2
2020/02/12 18:03,泸州,19,0,0,2
2020/02/12 18:03,德阳,16,0,0,0
2020/02/12 18:03,攀枝花,13,0,0,8
2020/02/12 18:03,遂宁,10,0,0,4
