时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 16:31,宝坻区,44,0,2,1
2020/02/13 16:31,河东区,14,0,1,2
2020/02/13 16:31,河北区,12,0,0,2
2020/02/13 16:31,和平区,6,0,0,1
2020/02/13 16:31,外地来津人员,6,0,0,1
2020/02/13 16:31,北辰区,6,0,0,0
2020/02/13 16:31,南开区,6,0,0,0
2020/02/13 16:31,河西区,4,0,0,1
2020/02/13 16:31,西青区,4,0,0,2
2020/02/13 16:31,宁河区,4,0,0,0
2020/02/13 16:31,东丽区,4,0,0,0
2020/02/13 16:31,滨海新区,3,0,0,0
2020/02/13 16:31,红桥区,2,0,0,1
2020/02/13 16:31,津南区,1,0,0,0
2020/02/13 16:31,武清区,1,0,0,0
2020/02/13 11:14,宝坻区,43,0,2,1
2020/02/13 11:14,河东区,13,0,1,2
2020/02/13 11:14,河北区,12,0,0,2
2020/02/13 11:14,和平区,6,0,0,1
2020/02/13 11:14,外地来津人员,6,0,0,1
2020/02/13 11:14,北辰区,6,0,0,0
2020/02/13 11:14,南开区,4,0,0,0
2020/02/13 11:14,河西区,4,0,0,1
2020/02/13 11:14,西青区,4,0,0,2
2020/02/13 11:14,宁河区,4,0,0,0
2020/02/13 11:14,东丽区,4,0,0,0
2020/02/13 11:14,滨海新区,3,0,0,0
2020/02/13 11:14,红桥区,2,0,0,1
2020/02/13 11:14,津南区,1,0,0,0
2020/02/13 11:14,武清区,1,0,0,0
2020/02/13 10:35,宝坻区,43,0,1,1
2020/02/13 10:35,河东区,13,0,1,2
2020/02/13 10:35,河北区,12,0,0,2
2020/02/13 10:35,和平区,6,0,0,1
2020/02/13 10:35,外地来津人员,6,0,0,1
2020/02/13 10:35,北辰区,6,0,0,0
2020/02/13 10:35,南开区,4,0,0,0
2020/02/13 10:35,河西区,4,0,0,1
2020/02/13 10:35,西青区,4,0,0,2
2020/02/13 10:35,宁河区,4,0,0,0
2020/02/13 10:35,东丽区,4,0,0,0
2020/02/13 10:35,滨海新区,3,0,0,0
2020/02/13 10:35,红桥区,2,0,0,1
2020/02/13 10:35,津南区,1,0,0,0
2020/02/13 10:35,武清区,1,0,0,0
2020/02/13 09:36,宝坻区,43,0,1,1
2020/02/13 09:36,河东区,13,0,1,2
2020/02/13 09:36,河北区,12,0,0,2
2020/02/13 09:36,和平区,6,0,0,1
2020/02/13 09:36,外地来津人员,6,0,0,1
2020/02/13 09:36,北辰区,5,0,0,0
2020/02/13 09:36,南开区,4,0,0,0
2020/02/13 09:36,河西区,4,0,0,1
2020/02/13 09:36,西青区,4,0,0,2
2020/02/13 09:36,宁河区,4,0,0,0
2020/02/13 09:36,东丽区,4,0,0,0
2020/02/13 09:36,滨海新区,3,0,0,0
2020/02/13 09:36,红桥区,2,0,0,1
2020/02/13 09:36,津南区,1,0,0,0
2020/02/13 09:36,武清区,1,0,0,0
2020/02/13 00:19,宝坻区,43,0,1,1
2020/02/13 00:19,河东区,13,0,1,2
2020/02/13 00:19,河北区,12,0,0,2
2020/02/13 00:19,和平区,6,0,0,1
2020/02/13 00:19,外地来津人员,6,0,0,1
2020/02/13 00:19,北辰区,5,0,0,0
2020/02/13 00:19,南开区,4,0,0,0
2020/02/13 00:19,河西区,4,0,0,1
2020/02/13 00:19,西青区,4,0,0,1
2020/02/13 00:19,宁河区,4,0,0,0
2020/02/13 00:19,东丽区,4,0,0,0
2020/02/13 00:19,滨海新区,3,0,0,0
2020/02/13 00:19,红桥区,2,0,0,1
2020/02/13 00:19,津南区,1,0,0,0
2020/02/13 00:19,武清区,1,0,0,0
2020/02/13 00:19,待明确地区,0,0,0,1
2020/02/12 22:55,宝坻区,43,0,1,1
2020/02/12 22:55,河东区,13,0,1,2
2020/02/12 22:55,河北区,12,0,0,2
2020/02/12 22:55,和平区,6,0,0,1
2020/02/12 22:55,外地来津人员,6,0,0,1
2020/02/12 22:55,北辰区,5,0,0,0
2020/02/12 22:55,南开区,4,0,0,0
2020/02/12 22:55,河西区,4,0,0,1
2020/02/12 22:55,西青区,4,0,0,1
2020/02/12 22:55,宁河区,4,0,0,0
2020/02/12 22:55,东丽区,4,0,0,0
2020/02/12 22:55,滨海新区,3,0,0,0
2020/02/12 22:55,红桥区,2,0,0,1
2020/02/12 22:55,津南区,1,0,0,0
2020/02/12 22:55,武清区,1,0,0,0
2020/02/12 22:55,待明确地区,0,0,0,1
2020/02/12 19:08,宝坻区,41,0,1,1
2020/02/12 19:08,河东区,13,0,1,2
2020/02/12 19:08,河北区,12,0,0,2
2020/02/12 19:08,和平区,6,0,0,1
2020/02/12 19:08,外地来津人员,6,0,0,1
2020/02/12 19:08,北辰区,5,0,0,0
2020/02/12 19:08,南开区,4,0,0,0
2020/02/12 19:08,河西区,4,0,0,1
2020/02/12 19:08,西青区,4,0,0,1
2020/02/12 19:08,宁河区,4,0,0,0
2020/02/12 19:08,东丽区,4,0,0,0
2020/02/12 19:08,滨海新区,3,0,0,0
2020/02/12 19:08,红桥区,2,0,0,1
2020/02/12 19:08,津南区,1,0,0,0
2020/02/12 19:08,武清区,1,0,0,0
2020/02/12 19:08,待明确地区,0,0,0,1
2020/02/12 16:35,宝坻区,41,0,1,1
2020/02/12 16:35,河东区,13,0,1,2
2020/02/12 16:35,河北区,12,0,0,2
2020/02/12 16:35,和平区,6,0,0,1
2020/02/12 16:35,外地来津人员,6,0,0,1
2020/02/12 16:35,北辰区,5,0,0,0
2020/02/12 16:35,南开区,4,0,0,0
2020/02/12 16:35,河西区,4,0,0,1
2020/02/12 16:35,西青区,4,0,0,1
2020/02/12 16:35,宁河区,4,0,0,0
2020/02/12 16:35,东丽区,4,0,0,0
2020/02/12 16:35,滨海新区,3,0,0,0
2020/02/12 16:35,红桥区,2,0,0,1
2020/02/12 16:35,津南区,1,0,0,0
2020/02/12 16:35,武清区,1,0,0,0
2020/02/12 15:56,宝坻区,41,0,1,0
2020/02/12 15:56,河东区,13,0,1,2
2020/02/12 15:56,河北区,12,0,0,2
2020/02/12 15:56,和平区,6,0,0,1
2020/02/12 15:56,外地来津人员,6,0,0,1
2020/02/12 15:56,北辰区,5,0,0,0
2020/02/12 15:56,南开区,4,0,0,0
2020/02/12 15:56,河西区,4,0,0,1
2020/02/12 15:56,西青区,4,0,0,1
2020/02/12 15:56,宁河区,4,0,0,0
2020/02/12 15:56,东丽区,4,0,0,0
