时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 09:21,银川,32,0,0,12
2020/02/13 09:21,吴忠,22,0,0,6
2020/02/13 09:21,固原,5,0,0,2
2020/02/13 09:21,中卫,3,0,0,2
2020/02/13 09:21,宁东,1,0,0,1
2020/02/13 09:21,石嘴山,1,0,0,1
2020/02/13 00:19,银川,31,0,0,12
2020/02/13 00:19,吴忠,19,0,0,6
2020/02/13 00:19,中卫,3,0,0,2
2020/02/13 00:19,固原,3,0,0,2
2020/02/13 00:19,宁东,1,0,0,1
2020/02/13 00:19,石嘴山,1,0,0,1
2020/02/12 19:08,银川,31,0,0,12
2020/02/12 19:08,吴忠,19,0,0,6
2020/02/12 19:08,中卫,3,0,0,2
2020/02/12 19:08,固原,3,0,0,2
2020/02/12 19:08,宁东,1,0,0,1
2020/02/12 19:08,石嘴山,1,0,0,1
2020/02/12 16:39,银川,31,0,0,10
2020/02/12 16:39,吴忠,19,0,0,6
2020/02/12 16:39,中卫,3,0,0,2
2020/02/12 16:39,固原,3,0,0,2
2020/02/12 16:39,宁东,1,0,0,1
2020/02/12 16:39,石嘴山,1,0,0,1
2020/02/12 14:58,银川,31,0,0,11
2020/02/12 14:58,吴忠,19,0,0,6
2020/02/12 14:58,中卫,3,0,0,2
2020/02/12 14:58,固原,3,0,0,2
2020/02/12 14:58,宁东,1,0,0,1
2020/02/12 14:58,石嘴山,1,0,0,0
2020/02/12 10:06,银川,31,0,0,11
2020/02/12 10:06,吴忠,19,0,0,6
2020/02/12 10:06,中卫,3,0,0,2
2020/02/12 10:06,固原,3,0,0,2
2020/02/12 10:06,宁东,1,0,0,1
2020/02/12 10:06,石嘴山,1,0,0,0
2020/02/11 18:03,银川,30,0,0,11
2020/02/11 18:03,吴忠,15,0,0,6
2020/02/11 18:03,中卫,3,0,0,2
2020/02/11 18:03,固原,3,0,0,2
2020/02/11 18:03,宁东,1,0,0,1
2020/02/11 18:03,石嘴山,1,0,0,0
2020/02/11 09:56,银川,30,0,0,5
2020/02/11 09:56,吴忠,15,0,0,4
2020/02/11 09:56,中卫,3,0,0,2
2020/02/11 09:56,固原,3,0,0,2
2020/02/11 09:56,宁东,1,0,0,1
2020/02/11 09:56,石嘴山,1,0,0,0
2020/02/10 09:40,银川,28,0,0,5
2020/02/10 09:40,吴忠,13,0,0,4
2020/02/10 09:40,中卫,3,0,0,2
2020/02/10 09:40,固原,3,0,0,2
2020/02/10 09:40,宁东,1,0,0,0
2020/02/10 09:40,石嘴山,1,0,0,0
2020/02/09 09:57,银川,28,0,0,5
2020/02/09 09:57,吴忠,10,0,0,4
2020/02/09 09:57,中卫,3,0,0,2
2020/02/09 09:57,固原,2,0,0,2
2020/02/09 09:57,宁东,1,0,0,0
2020/02/09 09:57,石嘴山,1,0,0,0
2020/02/08 17:06,银川,29,0,0,5
2020/02/08 17:06,吴忠,9,0,0,0
2020/02/08 17:06,中卫,3,0,0,0
2020/02/08 17:06,固原,2,0,0,0
2020/02/08 17:06,宁东管委会,1,0,0,0
2020/02/08 17:06,石嘴山,1,0,0,0
2020/02/08 17:06,待明确地区,0,0,0,10
2020/02/08 17:05,银川,29,0,0,5
2020/02/08 17:05,吴忠,9,0,0,0
2020/02/08 17:05,中卫,3,0,0,0
2020/02/08 17:05,固原,2,0,0,0
2020/02/08 17:05,宁东管委会,1,0,0,0
2020/02/08 17:05,石嘴山,1,0,0,0
2020/02/08 11:13,银川,29,0,0,5
2020/02/08 11:13,吴忠,9,0,0,0
2020/02/08 11:13,中卫,3,0,0,0
2020/02/08 11:13,固原,2,0,0,0
2020/02/08 11:13,宁东管委会,1,0,0,0
2020/02/08 11:13,石嘴山,1,0,0,0
2020/02/08 11:11,银川,29,0,0,3
2020/02/08 11:11,吴忠,9,0,0,0
2020/02/08 11:11,中卫,3,0,0,0
2020/02/08 11:11,固原,2,0,0,0
2020/02/08 11:11,宁东管委会,1,0,0,0
2020/02/08 11:11,石嘴山,1,0,0,0
2020/02/08 10:00,银川,29,0,0,3
2020/02/08 10:00,吴忠,9,0,0,0
2020/02/08 10:00,中卫,3,0,0,0
2020/02/08 10:00,固原,2,0,0,0
2020/02/08 10:00,宁东管委会,1,0,0,0
2020/02/08 10:00,石嘴山,1,0,0,0
2020/02/07 19:08,银川,27,0,0,3
2020/02/07 19:08,吴忠,9,0,0,0
2020/02/07 19:08,中卫,3,0,0,0
2020/02/07 19:08,固原,2,0,0,2
2020/02/07 19:08,宁东管委会,1,0,0,0
2020/02/07 19:08,石嘴山,1,0,0,0
2020/02/07 16:15,银川,27,0,0,1
2020/02/07 16:15,吴忠,9,0,0,0
2020/02/07 16:15,中卫,3,0,0,0
2020/02/07 16:15,固原,2,0,0,2
2020/02/07 16:15,宁东管委会,1,0,0,0
2020/02/07 16:15,石嘴山,1,0,0,0
2020/02/07 09:03,银川,27,0,0,1
2020/02/07 09:03,吴忠,9,0,0,0
2020/02/07 09:03,中卫,3,0,0,0
2020/02/07 09:03,固原,2,0,0,0
2020/02/07 09:03,宁东管委会,1,0,0,0
2020/02/07 09:03,石嘴山,1,0,0,0
2020/02/06 09:38,银川,25,0,0,1
2020/02/06 09:38,吴忠,8,0,0,0
2020/02/06 09:38,中卫,3,0,0,0
2020/02/06 09:38,固原,2,0,0,0
2020/02/06 09:38,宁东管委会,1,0,0,0
2020/02/06 09:38,石嘴山,1,0,0,0
2020/02/04 10:07,银川,20,0,0,1
2020/02/04 10:07,吴忠,7,0,0,0
2020/02/04 10:07,中卫,3,0,0,0
2020/02/04 10:07,固原,2,0,0,0
2020/02/04 10:07,宁东管委会,1,0,0,0
2020/02/04 10:07,石嘴山,1,0,0,0
2020/02/03 16:32,银川,19,0,0,1
2020/02/03 16:32,吴忠,7,0,0,0
2020/02/03 16:32,中卫,2,0,0,0
2020/02/03 16:32,固原,2,0,0,0
2020/02/03 16:32,宁东管委会,1,0,0,0
2020/02/03 10:28,银川,19,0,0,0
2020/02/03 10:28,吴忠,7,0,0,0
2020/02/03 10:28,中卫,2,0,0,0
2020/02/03 10:28,固原,2,0,0,0
2020/02/03 10:28,宁东管委会,1,0,0,0
2020/02/02 09:39,银川,16,0,0,0
2020/02/02 09:39,吴忠,7,0,0,0
2020/02/02 09:39,中卫,2,0,0,0
2020/02/02 09:39,固原,2,0,0,0
2020/02/02 09:39,宁东管委会,1,0,0,0
2020/02/01 18:29,银川,15,0,0,0
2020/02/01 18:29,吴忠,6,0,0,0
2020/02/01 18:29,中卫,2,0,0,0
2020/02/01 18:29,固原,2,0,0,0
2020/02/01 18:29,宁东管委会,1,0,0,0
2020/02/01 16:09,银川,15,0,0,0
2020/02/01 16:09,吴忠,6,0,0,0
2020/02/01 16:09,中卫,2,0,0,0
2020/02/01 16:09,固原,2,0,0,0
2020/02/01 16:09,宁东管委会,1,0,0,0
2020/02/01 10:09,银川,15,0,0,0
2020/02/01 10:09,吴忠,6,0,0,0
2020/02/01 10:09,中卫,2,0,0,0
2020/02/01 10:09,固原,2,0,0,0
2020/02/01 10:09,宁东管委会,1,0,0,0
2020/01/31 10:41,银川,11,0,0,0
2020/01/31 10:41,吴忠,5,0,0,0
2020/01/31 10:41,中卫,2,0,0,0
2020/01/31 10:41,固原,2,0,0,0
2020/01/31 10:41,宁东管委会,1,0,0,0
2020/01/30 12:37,银川,9,0,0,0
2020/01/30 12:37,吴忠,5,0,0,0
2020/01/30 12:37,中卫,1,0,0,0
2020/01/30 12:37,固原,1,0,0,0
2020/01/30 12:37,宁东管委会,1,0,0,0
2020/01/30 12:24,银川,9,0,0,0
2020/01/30 12:24,吴忠,5,0,0,0
2020/01/30 12:24,中卫,1,0,0,0
2020/01/30 12:24,固原,1,0,0,0
2020/01/30 12:24,宁东,1,0,0,0
2020/01/30 12:23,银川,9,0,0,0
