时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 13:31,合肥,161,0,1,28
2020/02/13 13:31,蚌埠,146,0,4,2
2020/02/13 13:31,阜阳,142,0,0,17
2020/02/13 13:31,亳州,100,0,0,16
2020/02/13 13:31,安庆,80,0,0,29
2020/02/13 13:31,六安,60,0,0,3
2020/02/13 13:31,宿州,38,0,0,8
2020/02/13 13:31,马鞍山,32,0,0,8
2020/02/13 13:31,芜湖,31,0,0,4
2020/02/13 13:31,铜陵,28,0,0,10
2020/02/13 13:31,淮北,25,0,0,6
2020/02/13 13:31,淮南,23,0,0,6
2020/02/13 13:31,池州,16,0,0,3
2020/02/13 13:31,滁州,13,0,0,4
2020/02/13 13:31,黄山,9,0,0,1
2020/02/13 13:31,宣城,6,0,0,4
2020/02/13 11:57,合肥,161,0,1,28
2020/02/13 11:57,蚌埠,146,0,4,2
2020/02/13 11:57,阜阳,142,0,0,17
2020/02/13 11:57,亳州,100,0,0,16
2020/02/13 11:57,安庆,80,0,0,15
2020/02/13 11:57,六安,60,0,0,3
2020/02/13 11:57,宿州,38,0,0,8
2020/02/13 11:57,马鞍山,32,0,0,8
2020/02/13 11:57,芜湖,31,0,0,4
2020/02/13 11:57,铜陵,28,0,0,10
2020/02/13 11:57,淮北,25,0,0,6
2020/02/13 11:57,淮南,23,0,0,6
2020/02/13 11:57,池州,16,0,0,3
2020/02/13 11:57,滁州,13,0,0,4
2020/02/13 11:57,黄山,9,0,0,1
2020/02/13 11:57,宣城,6,0,0,4
2020/02/13 09:03,合肥,161,0,1,28
2020/02/13 09:03,蚌埠,146,0,4,2
2020/02/13 09:03,阜阳,142,0,0,17
2020/02/13 09:03,亳州,100,0,0,12
2020/02/13 09:03,安庆,80,0,0,15
2020/02/13 09:03,六安,60,0,0,3
2020/02/13 09:03,宿州,38,0,0,8
2020/02/13 09:03,马鞍山,32,0,0,6
2020/02/13 09:03,芜湖,31,0,0,4
2020/02/13 09:03,铜陵,28,0,0,9
