时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 15:21,青岛,53,0,1,14
2020/02/13 15:21,济南,47,0,0,10
2020/02/13 15:21,烟台,46,0,0,7
2020/02/13 15:21,临沂,45,0,0,12
2020/02/13 15:21,济宁,43,0,0,14
2020/02/13 15:21,潍坊,41,0,0,5
2020/02/13 15:21,威海,38,0,0,9
2020/02/13 15:21,聊城,38,0,0,3
2020/02/13 15:21,德州,35,0,1,6
2020/02/13 15:21,泰安,32,0,0,4
2020/02/13 15:21,淄博,23,0,0,1
2020/02/13 15:21,枣庄,23,0,0,4
2020/02/13 15:21,菏泽,18,0,0,7
2020/02/13 15:21,日照,15,0,0,2
2020/02/13 15:21,滨州,12,0,0,6
2020/02/13 15:20,青岛,53,0,1,14
2020/02/13 15:20,济南,47,0,0,10
2020/02/13 15:20,烟台,46,0,0,7
2020/02/13 15:20,临沂,45,0,0,12
2020/02/13 15:20,济宁,43,0,0,14
2020/02/13 15:20,威海,38,0,0,9
2020/02/13 15:20,潍坊,38,0,0,5
2020/02/13 15:20,聊城,38,0,0,3
2020/02/13 15:20,德州,35,0,1,6
2020/02/13 15:20,泰安,32,0,0,4
2020/02/13 15:20,淄博,23,0,0,1
2020/02/13 15:20,枣庄,23,0,0,4
2020/02/13 15:20,菏泽,18,0,0,7
2020/02/13 15:20,日照,15,0,0,2
2020/02/13 15:20,滨州,12,0,0,6
2020/02/13 11:57,青岛,53,0,1,13
2020/02/13 11:57,济南,47,0,0,10
2020/02/13 11:57,烟台,46,0,0,7
2020/02/13 11:57,临沂,45,0,0,12
2020/02/13 11:57,济宁,43,0,0,14
2020/02/13 11:57,威海,38,0,0,9
2020/02/13 11:57,潍坊,38,0,0,5
2020/02/13 11:57,聊城,38,0,0,3
2020/02/13 11:57,德州,35,0,1,6
2020/02/13 11:57,泰安,32,0,0,4
2020/02/13 11:57,淄博,23,0,0,1
2020/02/13 11:57,枣庄,23,0,0,4
2020/02/13 11:57,菏泽,18,0,0,7
2020/02/13 11:57,日照,15,0,0,2
2020/02/13 11:57,滨州,12,0,0,6
2020/02/13 09:03,青岛,53,0,1,13
2020/02/13 09:03,济南,47,0,0,7
2020/02/13 09:03,烟台,46,0,0,7
2020/02/13 09:03,临沂,45,0,0,12
2020/02/13 09:03,济宁,43,0,0,12
2020/02/13 09:03,威海,38,0,0,9
2020/02/13 09:03,潍坊,38,0,0,5
2020/02/13 09:03,聊城,38,0,0,3
2020/02/13 09:03,德州,35,0,1,6
2020/02/13 09:03,泰安,32,0,0,4
2020/02/13 09:03,淄博,23,0,0,1
2020/02/13 09:03,枣庄,23,0,0,4
2020/02/13 09:03,菏泽,18,0,0,7
2020/02/13 09:03,日照,15,0,0,2
2020/02/13 09:03,滨州,12,0,0,6
2020/02/13 08:44,青岛,53,0,1,13
2020/02/13 08:44,济南,47,0,0,7
2020/02/13 08:44,临沂,45,0,0,10
2020/02/13 08:44,烟台,43,0,0,3
2020/02/13 08:44,济宁,42,0,0,12
2020/02/13 08:44,威海,38,0,0,9
2020/02/13 08:44,潍坊,38,0,0,4
2020/02/13 08:44,聊城,38,0,0,2
2020/02/13 08:44,德州,33,0,1,6
2020/02/13 08:44,泰安,32,0,0,4
2020/02/13 08:44,枣庄,23,0,0,4
2020/02/13 08:44,淄博,20,0,0,1
2020/02/13 08:44,菏泽,18,0,0,7
2020/02/13 08:44,日照,15,0,0,2
2020/02/13 08:44,滨州,12,0,0,6
2020/02/13 00:19,青岛,53,0,1,13
2020/02/13 00:19,济南,47,0,0,7
2020/02/13 00:19,临沂,45,0,0,10
2020/02/13 00:19,烟台,43,0,0,3
2020/02/13 00:19,济宁,42,0,0,12
2020/02/13 00:19,威海,38,0,0,9
2020/02/13 00:19,潍坊,38,0,0,5
2020/02/13 00:19,聊城,38,0,0,3
2020/02/13 00:19,德州,33,0,1,6
2020/02/13 00:19,泰安,32,0,0,4
2020/02/13 00:19,枣庄,23,0,0,4
2020/02/13 00:19,淄博,20,0,0,1
2020/02/13 00:19,菏泽,18,0,0,7
2020/02/13 00:19,日照,15,0,0,2
2020/02/13 00:19,滨州,12,0,0,6
