时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 06:55,晋中,35,0,0,8
2020/02/13 06:55,运城,19,0,0,8
2020/02/13 06:55,太原,18,0,0,3
2020/02/13 06:55,大同,12,0,0,4
2020/02/13 06:55,长治,8,0,0,0
2020/02/13 06:55,晋城,8,0,0,2
2020/02/13 06:55,朔州,7,0,0,2
2020/02/13 06:55,忻州,7,0,0,0
2020/02/13 06:55,吕梁,6,0,0,5
2020/02/13 06:55,阳泉,4,0,0,0
2020/02/13 06:55,临汾,2,0,0,1
2020/02/13 00:19,晋中,34,0,0,8
2020/02/13 00:19,运城,19,0,0,8
2020/02/13 00:19,太原,18,0,0,3
2020/02/13 00:19,大同,11,0,0,4
2020/02/13 00:19,长治,8,0,0,0
2020/02/13 00:19,晋城,8,0,0,2
2020/02/13 00:19,朔州,7,0,0,2
2020/02/13 00:19,忻州,7,0,0,0
2020/02/13 00:19,吕梁,6,0,0,5
2020/02/13 00:19,阳泉,4,0,0,0
2020/02/13 00:19,临汾,2,0,0,1
2020/02/12 18:03,晋中,34,0,0,8
2020/02/12 18:03,运城,19,0,0,8
2020/02/12 18:03,太原,18,0,0,3
2020/02/12 18:03,大同,11,0,0,4
2020/02/12 18:03,长治,8,0,0,0
2020/02/12 18:03,晋城,8,0,0,2
2020/02/12 18:03,朔州,7,0,0,2
2020/02/12 18:03,忻州,7,0,0,0
2020/02/12 18:03,吕梁,6,0,0,5
2020/02/12 18:03,阳泉,4,0,0,0
2020/02/12 18:03,临汾,2,0,0,1
2020/02/12 14:58,晋中,34,0,0,8
2020/02/12 14:58,运城,19,0,0,8
2020/02/12 14:58,太原,18,0,0,3
2020/02/12 14:58,大同,11,0,0,3
2020/02/12 14:58,长治,8,0,0,0
2020/02/12 14:58,晋城,8,0,0,2
2020/02/12 14:58,朔州,7,0,0,2
2020/02/12 14:58,忻州,7,0,0,0
2020/02/12 14:58,吕梁,6,0,0,5
2020/02/12 14:58,阳泉,4,0,0,0
2020/02/12 14:58,临汾,2,0,0,1
2020/02/12 13:20,晋中,34,0,0,8
2020/02/12 13:20,运城,19,0,0,8
2020/02/12 13:20,太原,18,0,0,3
2020/02/12 13:20,大同,11,0,0,3
2020/02/12 13:20,长治,8,0,0,0
2020/02/12 13:20,晋城,8,0,0,2
2020/02/12 13:20,朔州,7,0,0,2
2020/02/12 13:20,忻州,7,0,0,0
2020/02/12 13:20,吕梁,6,0,0,5
2020/02/12 13:20,阳泉,4,0,0,0
2020/02/12 13:20,临汾,2,0,0,1
