时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 10:55,深圳,391,0,0,82
2020/02/13 10:55,广州,327,0,0,71
2020/02/13 10:55,珠海,89,0,0,21
2020/02/13 10:55,佛山,81,0,0,17
2020/02/13 10:55,东莞,70,0,0,7
2020/02/13 10:55,中山,64,0,0,22
2020/02/13 10:55,惠州,55,0,0,7
2020/02/13 10:55,汕头,25,0,0,8
2020/02/13 10:55,江门,22,0,0,4
2020/02/13 10:55,湛江,21,0,0,9
2020/02/13 10:55,肇庆,16,0,1,7
2020/02/13 10:55,阳江,13,0,0,5
2020/02/13 10:55,梅州,13,0,0,5
2020/02/13 10:55,茂名,13,0,0,2
2020/02/13 10:55,清远,12,0,0,5
2020/02/13 10:55,韶关,8,0,0,3
2020/02/13 10:55,揭阳,8,0,0,3
2020/02/13 10:55,汕尾,5,0,0,1
2020/02/13 10:55,潮州,5,0,0,0
2020/02/13 10:55,河源,3,0,0,1
2020/02/13 10:55,待明确地区,0,0,1,9
2020/02/13 10:09,深圳,391,0,0,82
2020/02/13 10:09,广州,327,0,0,71
2020/02/13 10:09,珠海,89,0,0,21
2020/02/13 10:09,佛山,81,0,0,17
2020/02/13 10:09,东莞,70,0,0,7
2020/02/13 10:09,中山,64,0,0,21
2020/02/13 10:09,惠州,55,0,0,4
2020/02/13 10:09,汕头,25,0,0,8
2020/02/13 10:09,江门,22,0,0,4
2020/02/13 10:09,湛江,21,0,0,9
2020/02/13 10:09,肇庆,16,0,1,7
2020/02/13 10:09,阳江,13,0,0,5
2020/02/13 10:09,梅州,13,0,0,5
2020/02/13 10:09,茂名,13,0,0,1
2020/02/13 10:09,清远,12,0,0,5
2020/02/13 10:09,韶关,8,0,0,3
2020/02/13 10:09,揭阳,8,0,0,3
2020/02/13 10:09,汕尾,5,0,0,1
2020/02/13 10:09,潮州,5,0,0,0
2020/02/13 10:09,河源,3,0,0,1
2020/02/13 10:09,待明确地区,0,0,1,9
2020/02/13 00:19,深圳,386,0,0,82
2020/02/13 00:19,广州,323,0,0,71
2020/02/13 00:19,珠海,87,0,0,21
2020/02/13 00:19,佛山,78,0,0,17
2020/02/13 00:19,东莞,67,0,0,7
2020/02/13 00:19,中山,62,0,0,21
2020/02/13 00:19,惠州,54,0,0,4
