时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 08:20,南宁,44,0,0,10
2020/02/13 08:20,北海,39,0,1,4
2020/02/13 08:20,桂林,31,0,0,5
2020/02/13 08:20,柳州,22,0,0,6
2020/02/13 08:20,河池,21,0,1,0
2020/02/13 08:20,防城港,17,0,0,1
2020/02/13 08:20,来宾,11,0,0,0
2020/02/13 08:20,玉林,9,0,0,1
2020/02/13 08:20,钦州,8,0,0,0
2020/02/13 08:20,贵港,8,0,0,0
2020/02/13 08:20,梧州,5,0,0,5
2020/02/13 08:20,贺州,4,0,0,0
2020/02/13 08:20,百色,3,0,0,0
2020/02/13 08:20,待明确地区,0,0,0,1
2020/02/13 00:19,南宁,44,0,0,10
2020/02/13 00:19,北海,39,0,0,4
2020/02/13 00:19,桂林,31,0,0,5
2020/02/13 00:19,柳州,22,0,0,6
2020/02/13 00:19,河池,21,0,1,0
2020/02/13 00:19,防城港,17,0,0,1
2020/02/13 00:19,来宾,11,0,0,0
2020/02/13 00:19,玉林,9,0,0,1
2020/02/13 00:19,钦州,8,0,0,0
2020/02/13 00:19,贵港,8,0,0,0
2020/02/13 00:19,梧州,5,0,0,5
2020/02/13 00:19,贺州,4,0,0,0
2020/02/13 00:19,百色,3,0,0,0
2020/02/12 22:55,南宁,44,0,0,10
2020/02/12 22:55,北海,39,0,0,4
2020/02/12 22:55,桂林,31,0,0,5
2020/02/12 22:55,柳州,22,0,0,6
2020/02/12 22:55,河池,21,0,1,0
2020/02/12 22:55,防城港,17,0,0,1
2020/02/12 22:55,来宾,11,0,0,0
2020/02/12 22:55,玉林,9,0,0,1
2020/02/12 22:55,钦州,8,0,0,0
2020/02/12 22:55,贵港,8,0,0,0
2020/02/12 22:55,梧州,5,0,0,5
2020/02/12 22:55,贺州,4,0,0,0
2020/02/12 22:55,百色,3,0,0,0
2020/02/12 16:31,南宁,44,0,0,9
2020/02/12 16:31,北海,39,0,0,4
2020/02/12 16:31,桂林,31,0,0,5
2020/02/12 16:31,柳州,22,0,0,6
2020/02/12 16:31,河池,21,0,1,0
2020/02/12 16:31,防城港,17,0,0,1
2020/02/12 16:31,来宾,11,0,0,0
2020/02/12 16:31,玉林,9,0,0,1
2020/02/12 16:31,钦州,8,0,0,0
2020/02/12 16:31,贵港,8,0,0,0
2020/02/12 16:31,梧州,5,0,0,5
2020/02/12 16:31,贺州,4,0,0,0
2020/02/12 16:31,百色,3,0,0,0
2020/02/12 14:58,南宁,44,0,0,8
2020/02/12 14:58,北海,39,0,0,4
2020/02/12 14:58,桂林,31,0,0,5
2020/02/12 14:58,柳州,22,0,0,6
2020/02/12 14:58,河池,21,0,1,0
2020/02/12 14:58,防城港,17,0,0,1
2020/02/12 14:58,来宾,11,0,0,0
2020/02/12 14:58,玉林,9,0,0,1
2020/02/12 14:58,钦州,8,0,0,0
2020/02/12 14:58,贵港,8,0,0,0
2020/02/12 14:58,梧州,5,0,0,5
2020/02/12 14:58,贺州,4,0,0,0
2020/02/12 14:58,百色,3,0,0,0
2020/02/12 14:58,待明确地区,0,0,0,1
2020/02/12 08:24,南宁,44,0,0,8
2020/02/12 08:24,北海,39,0,0,4
2020/02/12 08:24,桂林,31,0,0,5
2020/02/12 08:24,柳州,22,0,0,6
2020/02/12 08:24,河池,21,0,1,0
2020/02/12 08:24,防城港,17,0,0,1
2020/02/12 08:24,来宾,11,0,0,0
2020/02/12 08:24,玉林,9,0,0,1
2020/02/12 08:24,钦州,8,0,0,0
2020/02/12 08:24,贵港,8,0,0,0
2020/02/12 08:24,梧州,5,0,0,5
2020/02/12 08:24,贺州,4,0,0,0
2020/02/12 08:24,百色,3,0,0,0
2020/02/12 08:24,待明确地区,0,0,0,1
2020/02/11 23:18,南宁,41,0,0,8
2020/02/11 23:18,北海,36,0,0,4
2020/02/11 23:18,桂林,30,0,0,5
2020/02/11 23:18,柳州,22,0,0,6
2020/02/11 23:18,河池,21,0,1,0
2020/02/11 23:18,防城港,17,0,0,1
2020/02/11 23:18,来宾,11,0,0,0
2020/02/11 23:18,玉林,9,0,0,1
2020/02/11 23:18,钦州,8,0,0,0
2020/02/11 23:18,贵港,8,0,0,0
2020/02/11 23:18,梧州,5,0,0,5
2020/02/11 23:18,贺州,4,0,0,0
2020/02/11 23:18,百色,3,0,0,0
2020/02/11 23:18,待明确地区,0,0,0,3
2020/02/11 19:21,南宁,41,0,0,8
2020/02/11 19:21,北海,36,0,0,4
2020/02/11 19:21,桂林,30,0,0,5
2020/02/11 19:21,柳州,22,0,0,3
2020/02/11 19:21,河池,21,0,1,0
2020/02/11 19:21,防城港,17,0,0,1
2020/02/11 19:21,来宾,11,0,0,0
2020/02/11 19:21,玉林,9,0,0,1
2020/02/11 19:21,钦州,8,0,0,0
2020/02/11 19:21,贵港,8,0,0,0
2020/02/11 19:21,梧州,5,0,0,5
2020/02/11 19:21,贺州,4,0,0,0
2020/02/11 19:21,百色,3,0,0,0
2020/02/11 19:21,待明确地区,0,0,0,6
2020/02/11 09:42,南宁,41,0,0,8
2020/02/11 09:42,北海,36,0,0,3
2020/02/11 09:42,桂林,30,0,0,5
2020/02/11 09:42,柳州,22,0,0,3
2020/02/11 09:42,河池,21,0,1,0
2020/02/11 09:42,防城港,17,0,0,1
