时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 09:15,乌鲁木齐,21,0,0,2
2020/02/13 09:15,伊犁州,14,0,0,0
2020/02/13 09:15,兵团第四师,10,0,0,0
2020/02/13 09:15,兵团第九师,4,0,0,0
2020/02/13 09:15,昌吉州,4,0,0,0
2020/02/13 09:15,巴州,3,0,0,0
2020/02/13 09:15,兵团第八师石河子市,2,0,1,0
2020/02/13 09:15,吐鲁番市,1,0,0,1
2020/02/13 09:15,兵团第七师,1,0,0,0
2020/02/13 09:15,阿克苏地区,1,0,0,0
2020/02/13 09:15,兵团第六师五家渠市,1,0,0,0
2020/02/13 09:15,兵团第十二师,1,0,0,0
2020/02/13 00:19,乌鲁木齐,20,0,0,2
2020/02/13 00:19,伊犁州,12,0,0,0
2020/02/13 00:19,兵团第四师,9,0,0,0
2020/02/13 00:19,兵团第九师,4,0,0,0
2020/02/13 00:19,昌吉州,4,0,0,0
2020/02/13 00:19,巴州,3,0,0,0
2020/02/13 00:19,兵团第八师石河子市,2,0,0,0
2020/02/13 00:19,吐鲁番市,1,0,0,1
2020/02/13 00:19,兵团第七师,1,0,0,0
2020/02/13 00:19,阿克苏地区,1,0,0,0
2020/02/13 00:19,兵团第六师五家渠市,1,0,0,0
2020/02/13 00:19,兵团第十二师,1,0,0,0
2020/02/12 14:58,乌鲁木齐,20,0,0,2
2020/02/12 14:58,伊犁州,12,0,0,0
2020/02/12 14:58,兵团第四师,9,0,0,0
2020/02/12 14:58,兵团第九师,4,0,0,0
2020/02/12 14:58,昌吉州,4,0,0,0
2020/02/12 14:58,巴州,3,0,0,0
2020/02/12 14:58,兵团第八师石河子市,2,0,0,0
2020/02/12 14:58,吐鲁番市,1,0,0,1
2020/02/12 14:58,兵团第七师,1,0,0,0
2020/02/12 14:58,阿克苏地区,1,0,0,0
2020/02/12 14:58,兵团第六师五家渠市,1,0,0,0
2020/02/12 14:58,兵团第十二师,1,0,0,0
2020/02/12 09:38,乌鲁木齐,20,0,0,2
2020/02/12 09:38,伊犁州,12,0,0,0
2020/02/12 09:38,兵团第四师,9,0,0,0
2020/02/12 09:38,兵团第九师,4,0,0,0
2020/02/12 09:38,昌吉州,4,0,0,0
2020/02/12 09:38,巴州,3,0,0,0
2020/02/12 09:38,兵团第八师石河子市,2,0,0,0
2020/02/12 09:38,吐鲁番市,1,0,0,1
2020/02/12 09:38,兵团第七师,1,0,0,0
2020/02/12 09:38,阿克苏地区,1,0,0,0
2020/02/12 09:38,兵团第六师五家渠市,1,0,0,0
2020/02/12 09:38,兵团第十二师,1,0,0,0
2020/02/11 17:08,乌鲁木齐,20,0,0,2
2020/02/11 17:08,伊犁州,10,0,0,0
2020/02/11 17:08,兵团第四师,7,0,0,0
2020/02/11 17:08,兵团第九师,4,0,0,0
2020/02/11 17:08,昌吉州,4,0,0,0
2020/02/11 17:08,巴州,3,0,0,0
2020/02/11 17:08,兵团第八师石河子市,2,0,0,0
2020/02/11 17:08,吐鲁番,1,0,0,1
2020/02/11 17:08,兵团第七师,1,0,0,0
2020/02/11 17:08,阿克苏地区,1,0,0,0
2020/02/11 17:08,兵团第六师五家渠市,1,0,0,0
2020/02/11 17:08,兵团第十二师,1,0,0,0
2020/02/11 09:06,乌鲁木齐,20,0,0,0
2020/02/11 09:06,伊犁州,10,0,0,0
2020/02/11 09:06,兵团第四师,7,0,0,0
2020/02/11 09:06,兵团第九师,4,0,0,0
2020/02/11 09:06,昌吉州,4,0,0,0
2020/02/11 09:06,巴州,3,0,0,0
2020/02/11 09:06,兵团第八师石河子市,2,0,0,0
2020/02/11 09:06,吐鲁番,1,0,0,0
