时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 14:10,南京,90,0,0,24
2020/02/13 14:10,苏州,85,0,0,17
2020/02/13 14:10,徐州,71,0,0,16
2020/02/13 14:10,淮安,51,0,0,6
2020/02/13 14:10,无锡,49,0,0,8
2020/02/13 14:10,连云港,42,0,0,6
2020/02/13 14:10,南通,38,0,0,10
2020/02/13 14:10,常州,38,0,0,11
2020/02/13 14:10,泰州,37,0,0,15
2020/02/13 14:10,盐城,25,0,0,6
2020/02/13 14:10,扬州,20,0,0,6
2020/02/13 14:10,镇江,12,0,0,2
2020/02/13 14:10,宿迁,12,0,0,6
2020/02/13 08:53,南京,90,0,0,24
2020/02/13 08:53,苏州,85,0,0,16
2020/02/13 08:53,徐州,71,0,0,16
2020/02/13 08:53,淮安,51,0,0,6
2020/02/13 08:53,无锡,49,0,0,8
2020/02/13 08:53,连云港,42,0,0,5
2020/02/13 08:53,南通,38,0,0,10
2020/02/13 08:53,常州,38,0,0,11
2020/02/13 08:53,泰州,37,0,0,15
2020/02/13 08:53,盐城,25,0,0,6
2020/02/13 08:53,扬州,20,0,0,6
2020/02/13 08:53,镇江,12,0,0,2
2020/02/13 08:53,宿迁,12,0,0,6
2020/02/13 00:19,南京,87,0,0,24
2020/02/13 00:19,苏州,84,0,0,16
2020/02/13 00:19,徐州,66,0,0,16
2020/02/13 00:19,无锡,48,0,0,9
2020/02/13 00:19,淮安,47,0,0,6
2020/02/13 00:19,连云港,39,0,0,5
2020/02/13 00:19,南通,37,0,0,11
2020/02/13 00:19,常州,36,0,0,12
2020/02/13 00:19,泰州,36,0,0,6
2020/02/13 00:19,盐城,21,0,0,6
2020/02/13 00:19,扬州,18,0,0,6
2020/02/13 00:19,镇江,12,0,0,2
2020/02/13 00:19,宿迁,12,0,0,6
2020/02/12 22:07,南京,87,0,0,24
2020/02/12 22:07,苏州,84,0,0,16
2020/02/12 22:07,徐州,66,0,0,16
2020/02/12 22:07,无锡,48,0,0,9
2020/02/12 22:07,淮安,47,0,0,6
2020/02/12 22:07,连云港,39,0,0,5
2020/02/12 22:07,南通,37,0,0,11
2020/02/12 22:07,常州,36,0,0,12
2020/02/12 22:07,泰州,36,0,0,6
2020/02/12 22:07,盐城,21,0,0,6
2020/02/12 22:07,扬州,18,0,0,6
2020/02/12 22:07,镇江,12,0,0,2
2020/02/12 22:07,宿迁,12,0,0,6
2020/02/12 18:03,南京,87,0,0,22
2020/02/12 18:03,苏州,84,0,0,16
2020/02/12 18:03,徐州,66,0,0,16
2020/02/12 18:03,无锡,48,0,0,9
2020/02/12 18:03,淮安,47,0,0,6
2020/02/12 18:03,连云港,39,0,0,5
2020/02/12 18:03,南通,37,0,0,11
2020/02/12 18:03,常州,36,0,0,12
2020/02/12 18:03,泰州,36,0,0,6
2020/02/12 18:03,盐城,21,0,0,6
2020/02/12 18:03,扬州,18,0,0,6
2020/02/12 18:03,镇江,12,0,0,2
2020/02/12 18:03,宿迁,12,0,0,6
2020/02/12 16:00,南京,87,0,0,22
2020/02/12 16:00,苏州,84,0,0,16
2020/02/12 16:00,徐州,66,0,0,10
2020/02/12 16:00,无锡,48,0,0,9
2020/02/12 16:00,淮安,47,0,0,6
2020/02/12 16:00,连云港,39,0,0,5
2020/02/12 16:00,南通,37,0,0,11
2020/02/12 16:00,常州,36,0,0,12
2020/02/12 16:00,泰州,36,0,0,6
2020/02/12 16:00,盐城,21,0,0,6
2020/02/12 16:00,扬州,18,0,0,6
2020/02/12 16:00,镇江,12,0,0,2
2020/02/12 16:00,宿迁,12,0,0,6
2020/02/12 14:58,南京,87,0,0,22
2020/02/12 14:58,苏州,84,0,0,16
2020/02/12 14:58,徐州,66,0,0,10
2020/02/12 14:58,无锡,48,0,0,4
2020/02/12 14:58,淮安,47,0,0,6
2020/02/12 14:58,连云港,39,0,0,5
2020/02/12 14:58,南通,37,0,0,11
2020/02/12 14:58,常州,36,0,0,6
2020/02/12 14:58,泰州,36,0,0,6
2020/02/12 14:58,盐城,21,0,0,6
2020/02/12 14:58,扬州,18,0,0,6
2020/02/12 14:58,镇江,12,0,0,2
2020/02/12 14:58,宿迁,12,0,0,6
2020/02/12 11:48,南京,87,0,0,22
2020/02/12 11:48,苏州,84,0,0,16
2020/02/12 11:48,徐州,66,0,0,10
2020/02/12 11:48,无锡,48,0,0,4
2020/02/12 11:48,淮安,47,0,0,6
