时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 09:10,南昌,210,0,0,61
2020/02/13 09:10,新余,121,0,0,28
2020/02/13 09:10,上饶,119,0,0,17
2020/02/13 09:10,九江,109,0,0,14
2020/02/13 09:10,宜春,95,0,0,16
2020/02/13 09:10,赣州,76,0,1,10
2020/02/13 09:10,抚州,69,0,0,14
2020/02/13 09:10,萍乡,29,0,0,2
2020/02/13 09:10,吉安,20,0,0,5
2020/02/13 09:10,鹰潭,18,0,0,2
2020/02/13 09:10,景德镇,5,0,0,1
2020/02/13 09:10,赣江新区,1,0,0,0
2020/02/13 00:19,南昌,204,0,0,53
2020/02/13 00:19,新余,117,0,0,26
2020/02/13 00:19,上饶,116,0,0,15
2020/02/13 00:19,九江,105,0,0,14
2020/02/13 00:19,宜春,88,0,0,16
2020/02/13 00:19,赣州,72,0,1,8
2020/02/13 00:19,抚州,68,0,0,11
2020/02/13 00:19,萍乡,29,0,0,2
2020/02/13 00:19,吉安,21,0,0,5
2020/02/13 00:19,鹰潭,18,0,0,1
2020/02/13 00:19,景德镇,5,0,0,1
2020/02/13 00:19,赣江新区,1,0,0,0
2020/02/12 14:58,南昌,204,0,0,53
2020/02/12 14:58,新余,117,0,0,26
2020/02/12 14:58,上饶,116,0,0,15
2020/02/12 14:58,九江,105,0,0,14
2020/02/12 14:58,宜春,88,0,0,16
2020/02/12 14:58,赣州,72,0,1,8
2020/02/12 14:58,抚州,68,0,0,11
2020/02/12 14:58,萍乡,29,0,0,2
2020/02/12 14:58,吉安,21,0,0,5
2020/02/12 14:58,鹰潭,18,0,0,1
2020/02/12 14:58,景德镇,5,0,0,1
2020/02/12 14:58,赣江新区,1,0,0,0
2020/02/12 09:33,南昌,204,0,0,53
2020/02/12 09:33,新余,117,0,0,26
2020/02/12 09:33,上饶,116,0,0,15
2020/02/12 09:33,九江,105,0,0,14
2020/02/12 09:33,宜春,88,0,0,16
2020/02/12 09:33,赣州,72,0,1,8
2020/02/12 09:33,抚州,68,0,0,11
2020/02/12 09:33,萍乡,29,0,0,2
2020/02/12 09:33,吉安,21,0,0,5
