时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 14:10,沧州,42,0,2,12
2020/02/13 14:10,唐山,35,0,0,4
2020/02/13 14:10,保定,31,0,0,11
2020/02/13 14:10,邯郸,31,0,0,5
2020/02/13 14:10,廊坊,29,0,0,11
2020/02/13 14:10,石家庄,27,0,0,4
2020/02/13 14:10,张家口,25,0,0,3
2020/02/13 14:10,邢台,21,0,1,5
2020/02/13 14:10,秦皇岛,9,0,0,2
2020/02/13 14:10,衡水,8,0,0,2
2020/02/13 14:10,承德,7,0,0,1
2020/02/13 11:57,沧州,42,0,2,12
2020/02/13 11:57,唐山,35,0,0,3
2020/02/13 11:57,保定,31,0,0,11
2020/02/13 11:57,邯郸,31,0,0,5
2020/02/13 11:57,廊坊,29,0,0,8
2020/02/13 11:57,石家庄,27,0,0,4
2020/02/13 11:57,张家口,25,0,0,3
2020/02/13 11:57,邢台,21,0,1,5
2020/02/13 11:57,秦皇岛,9,0,0,2
2020/02/13 11:57,衡水,8,0,0,2
2020/02/13 11:57,承德,7,0,0,1
2020/02/13 09:43,沧州,42,0,2,12
2020/02/13 09:43,唐山,35,0,0,3
2020/02/13 09:43,保定,31,0,0,11
2020/02/13 09:43,邯郸,31,0,0,5
2020/02/13 09:43,廊坊,29,0,0,8
2020/02/13 09:43,石家庄,27,0,0,4
2020/02/13 09:43,张家口,25,0,0,3
2020/02/13 09:43,邢台,21,0,1,5
2020/02/13 09:43,秦皇岛,9,0,0,1
2020/02/13 09:43,衡水,8,0,0,2
2020/02/13 09:43,承德,7,0,0,1
2020/02/13 08:15,沧州,42,0,2,12
2020/02/13 08:15,唐山,35,0,0,3
2020/02/13 08:15,保定,31,0,0,11
2020/02/13 08:15,邯郸,31,0,0,5
2020/02/13 08:15,廊坊,29,0,0,8
2020/02/13 08:15,石家庄,27,0,0,3
2020/02/13 08:15,张家口,25,0,0,3
2020/02/13 08:15,邢台,21,0,1,5
2020/02/13 08:15,秦皇岛,9,0,0,1
2020/02/13 08:15,衡水,8,0,0,2
2020/02/13 08:15,承德,7,0,0,1
2020/02/13 00:19,沧州,37,0,1,12
2020/02/13 00:19,唐山,33,0,0,3
2020/02/13 00:19,保定,31,0,0,11
2020/02/13 00:19,邯郸,29,0,0,5
2020/02/13 00:19,廊坊,28,0,0,8
2020/02/13 00:19,石家庄,27,0,0,3
2020/02/13 00:19,邢台,21,0,1,5
2020/02/13 00:19,张家口,21,0,0,3
2020/02/13 00:19,秦皇岛,9,0,0,1
2020/02/13 00:19,衡水,8,0,0,2
2020/02/13 00:19,承德,7,0,0,1
2020/02/12 19:08,沧州,37,0,1,12
2020/02/12 19:08,唐山,33,0,0,3
2020/02/12 19:08,保定,31,0,0,11
2020/02/12 19:08,邯郸,29,0,0,5
2020/02/12 19:08,廊坊,28,0,0,8
2020/02/12 19:08,石家庄,27,0,0,3
2020/02/12 19:08,邢台,21,0,1,5
2020/02/12 19:08,张家口,21,0,0,3
2020/02/12 19:08,秦皇岛,9,0,0,1
2020/02/12 19:08,衡水,8,0,0,2
2020/02/12 19:08,承德,7,0,0,1
2020/02/12 18:03,沧州,37,0,1,12
2020/02/12 18:03,唐山,33,0,0,3
2020/02/12 18:03,保定,31,0,0,9
2020/02/12 18:03,邯郸,29,0,0,5
2020/02/12 18:03,廊坊,28,0,0,8
2020/02/12 18:03,石家庄,27,0,0,3
2020/02/12 18:03,邢台,21,0,1,5
2020/02/12 18:03,张家口,21,0,0,3
2020/02/12 18:03,秦皇岛,9,0,0,1
2020/02/12 18:03,衡水,8,0,0,2
2020/02/12 18:03,承德,7,0,0,1
2020/02/12 16:00,沧州,37,0,1,12
2020/02/12 16:00,唐山,33,0,0,3
2020/02/12 16:00,保定,31,0,0,9
2020/02/12 16:00,邯郸,29,0,0,3
2020/02/12 16:00,廊坊,28,0,0,8
2020/02/12 16:00,石家庄,27,0,0,3
2020/02/12 16:00,邢台,21,0,1,5
2020/02/12 16:00,张家口,21,0,0,3
2020/02/12 16:00,秦皇岛,9,0,0,1
2020/02/12 16:00,衡水,8,0,0,2
2020/02/12 16:00,承德,7,0,0,1
2020/02/12 14:58,沧州,37,0,1,12
2020/02/12 14:58,唐山,33,0,0,3
2020/02/12 14:58,保定,31,0,0,9
2020/02/12 14:58,邯郸,29,0,0,3
2020/02/12 14:58,廊坊,28,0,0,8
2020/02/12 14:58,石家庄,27,0,0,3
2020/02/12 14:58,邢台,21,0,1,5
2020/02/12 14:58,张家口,21,0,0,2
2020/02/12 14:58,秦皇岛,9,0,0,1
2020/02/12 14:58,衡水,8,0,0,2
2020/02/12 14:58,承德,7,0,0,1
2020/02/12 11:30,沧州,37,0,1,12
2020/02/12 11:30,唐山,33,0,0,3
2020/02/12 11:30,保定,31,0,0,9
2020/02/12 11:30,邯郸,29,0,0,3
2020/02/12 11:30,廊坊,28,0,0,8
2020/02/12 11:30,石家庄,27,0,0,3
2020/02/12 11:30,邢台,21,0,1,5
2020/02/12 11:30,张家口,21,0,0,2
2020/02/12 11:30,秦皇岛,9,0,0,1
2020/02/12 11:30,衡水,8,0,0,2
2020/02/12 11:30,承德,7,0,0,1
2020/02/12 07:58,沧州,37,0,1,12
2020/02/12 07:58,唐山,33,0,0,2
2020/02/12 07:58,保定,31,0,0,9
2020/02/12 07:58,邯郸,29,0,0,3
2020/02/12 07:58,廊坊,28,0,0,8
2020/02/12 07:58,石家庄,27,0,0,3
2020/02/12 07:58,邢台,21,0,1,5
2020/02/12 07:58,张家口,21,0,0,3
2020/02/12 07:58,秦皇岛,9,0,0,0
2020/02/12 07:58,衡水,8,0,0,2
2020/02/12 07:58,承德,7,0,0,1
2020/02/11 19:21,沧州,32,0,1,12
2020/02/11 19:21,唐山,31,0,0,3
2020/02/11 19:21,保定,30,0,0,9
2020/02/11 19:21,邯郸,27,0,0,3
2020/02/11 19:21,石家庄,27,0,0,3
2020/02/11 19:21,廊坊,26,0,0,8
2020/02/11 19:21,邢台,21,0,1,5
2020/02/11 19:21,张家口,21,0,0,2
2020/02/11 19:21,秦皇岛,9,0,0,0
2020/02/11 19:21,衡水,8,0,0,2
2020/02/11 19:21,承德,7,0,0,1
2020/02/11 14:01,沧州,32,0,1,10
2020/02/11 14:01,唐山,31,0,0,2
2020/02/11 14:01,保定,30,0,0,9
2020/02/11 14:01,邯郸,27,0,0,3
2020/02/11 14:01,石家庄,27,0,0,3
2020/02/11 14:01,廊坊,26,0,0,5
2020/02/11 14:01,邢台,21,0,1,5
2020/02/11 14:01,张家口,21,0,0,2
2020/02/11 14:01,秦皇岛,9,0,0,0
2020/02/11 14:01,衡水,8,0,0,2
2020/02/11 14:01,承德,7,0,0,1
2020/02/11 08:55,沧州,32,0,1,10
2020/02/11 08:55,唐山,31,0,0,2
2020/02/11 08:55,保定,30,0,0,9
2020/02/11 08:55,邯郸,27,0,0,3
2020/02/11 08:55,石家庄,27,0,0,3
2020/02/11 08:55,廊坊,26,0,0,5
2020/02/11 08:55,邢台,21,0,1,4
2020/02/11 08:55,张家口,21,0,0,2
2020/02/11 08:55,秦皇岛,9,0,0,0
2020/02/11 08:55,衡水,8,0,0,2
2020/02/11 08:55,承德,7,0,0,1
2020/02/10 17:55,沧州,28,0,1,10
2020/02/10 17:55,唐山,28,0,0,2
2020/02/10 17:55,邯郸,27,0,0,3
2020/02/10 17:55,保定,26,0,0,9
2020/02/10 17:55,石家庄,25,0,0,3
2020/02/10 17:55,廊坊,24,0,0,5
2020/02/10 17:55,邢台,21,0,1,4
2020/02/10 17:55,张家口,17,0,0,2
2020/02/10 17:55,衡水,8,0,0,2
2020/02/10 17:55,承德,7,0,0,1
2020/02/10 17:55,秦皇岛,7,0,0,0
2020/02/10 08:19,沧州,28,0,1,8
2020/02/10 08:19,唐山,28,0,0,2
2020/02/10 08:19,邯郸,27,0,0,2
2020/02/10 08:19,保定,26,0,0,8
2020/02/10 08:19,石家庄,25,0,0,3
2020/02/10 08:19,廊坊,24,0,0,5
2020/02/10 08:19,邢台,21,0,1,4
2020/02/10 08:19,张家口,17,0,0,2
2020/02/10 08:19,衡水,8,0,0,0
2020/02/10 08:19,承德,7,0,0,1
2020/02/10 08:19,秦皇岛,7,0,0,0
