时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 14:10,信阳,240,0,0,49
2020/02/13 14:10,南阳,145,0,2,36
2020/02/13 14:10,郑州,141,0,0,47
2020/02/13 14:10,驻马店,134,0,0,39
2020/02/13 14:10,商丘,87,0,0,14
2020/02/13 14:10,周口,68,0,0,20
2020/02/13 14:10,平顶山,56,0,1,18
2020/02/13 14:10,新乡,54,0,1,7
2020/02/13 14:10,安阳,50,0,0,13
2020/02/13 14:10,许昌,34,0,0,3
2020/02/13 14:10,漯河,33,0,0,6
2020/02/13 14:10,洛阳,30,0,0,4
2020/02/13 14:10,焦作,29,0,1,5
2020/02/13 14:10,开封,25,0,0,3
2020/02/13 14:10,鹤壁,19,0,0,4
2020/02/13 14:10,濮阳,13,0,0,1
2020/02/13 14:10,三门峡,7,0,0,3
2020/02/13 14:10,济源,4,0,0,0
2020/02/13 14:10,待明确地区,0,0,5,0
2020/02/13 13:27,信阳,240,0,0,49
2020/02/13 13:27,南阳,145,0,2,36
2020/02/13 13:27,郑州,141,0,0,47
2020/02/13 13:27,驻马店,134,0,0,39
2020/02/13 13:27,商丘,87,0,0,14
2020/02/13 13:27,周口,68,0,0,20
2020/02/13 13:27,平顶山,56,0,1,18
2020/02/13 13:27,新乡,54,0,1,7
2020/02/13 13:27,安阳,50,0,0,13
2020/02/13 13:27,许昌,34,0,0,3
2020/02/13 13:27,漯河,33,0,0,6
2020/02/13 13:27,洛阳,30,0,0,4
2020/02/13 13:27,焦作,29,0,1,5
2020/02/13 13:27,开封,25,0,0,3
2020/02/13 13:27,鹤壁,19,0,0,4
2020/02/13 13:27,濮阳,13,0,0,1
2020/02/13 13:27,三门峡,7,0,0,3
2020/02/13 13:27,济源,4,0,0,0
2020/02/13 13:27,待明确地区,0,0,5,12
2020/02/13 10:55,信阳,240,0,0,38
2020/02/13 10:55,南阳,145,0,2,36
2020/02/13 10:55,郑州,141,0,0,47
2020/02/13 10:55,驻马店,134,0,0,31
2020/02/13 10:55,商丘,87,0,0,14
2020/02/13 10:55,周口,68,0,0,20
2020/02/13 10:55,平顶山,56,0,1,18
2020/02/13 10:55,新乡,54,0,1,7
2020/02/13 10:55,安阳,50,0,0,10
2020/02/13 10:55,许昌,34,0,0,3
2020/02/13 10:55,漯河,33,0,0,6
2020/02/13 10:55,洛阳,30,0,0,4
2020/02/13 10:55,焦作,29,0,1,5
2020/02/13 10:55,开封,25,0,0,3
2020/02/13 10:55,鹤壁,19,0,0,4
