时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 14:10,温州,490,0,0,120
2020/02/13 14:10,杭州,162,0,0,63
2020/02/13 14:10,宁波,153,0,0,31
2020/02/13 14:10,台州,144,0,0,49
2020/02/13 14:10,金华,55,0,0,23
2020/02/13 14:10,嘉兴,42,0,0,6
2020/02/13 14:10,绍兴,41,0,0,15
2020/02/13 14:10,衢州,21,0,0,5
2020/02/13 14:10,丽水,17,0,0,9
2020/02/13 14:10,舟山,10,0,0,5
2020/02/13 14:10,湖州,10,0,0,4
2020/02/13 09:15,温州,490,0,0,120
2020/02/13 09:15,杭州,162,0,0,63
2020/02/13 09:15,宁波,153,0,0,31
2020/02/13 09:15,台州,144,0,0,46
2020/02/13 09:15,金华,55,0,0,23
2020/02/13 09:15,嘉兴,42,0,0,6
2020/02/13 09:15,绍兴,41,0,0,15
2020/02/13 09:15,衢州,21,0,0,5
2020/02/13 09:15,丽水,17,0,0,9
2020/02/13 09:15,舟山,10,0,0,5
2020/02/13 09:15,湖州,10,0,0,4
2020/02/13 00:19,温州,481,0,0,120
2020/02/13 00:19,杭州,159,0,0,67
2020/02/13 00:19,宁波,153,0,0,25
2020/02/13 00:19,台州,143,0,0,46
2020/02/13 00:19,金华,54,0,0,23
2020/02/13 00:19,嘉兴,42,0,0,6
2020/02/13 00:19,绍兴,41,0,0,13
2020/02/13 00:19,衢州,21,0,0,5
2020/02/13 00:19,丽水,17,0,0,7
2020/02/13 00:19,舟山,10,0,0,5
2020/02/13 00:19,湖州,10,0,0,4
2020/02/12 18:03,温州,481,0,0,120
2020/02/12 18:03,杭州,159,0,0,67
2020/02/12 18:03,宁波,153,0,0,25
2020/02/12 18:03,台州,143,0,0,46
2020/02/12 18:03,金华,54,0,0,23
2020/02/12 18:03,嘉兴,42,0,0,6
2020/02/12 18:03,绍兴,41,0,0,13
2020/02/12 18:03,衢州,21,0,0,5
2020/02/12 18:03,丽水,17,0,0,7
2020/02/12 18:03,舟山,10,0,0,5
2020/02/12 18:03,湖州,10,0,0,4
2020/02/12 16:00,温州,481,0,0,118
2020/02/12 16:00,杭州,159,0,0,67
2020/02/12 16:00,宁波,153,0,0,25
2020/02/12 16:00,台州,143,0,0,46
2020/02/12 16:00,金华,54,0,0,20
2020/02/12 16:00,嘉兴,42,0,0,6
2020/02/12 16:00,绍兴,41,0,0,13
2020/02/12 16:00,衢州,21,0,0,5
2020/02/12 16:00,丽水,17,0,0,7
2020/02/12 16:00,舟山,10,0,0,5
2020/02/12 16:00,湖州,10,0,0,4
2020/02/12 14:58,温州,481,0,0,107
2020/02/12 14:58,杭州,159,0,0,51
2020/02/12 14:58,宁波,153,0,0,24
2020/02/12 14:58,台州,143,0,0,38
2020/02/12 14:58,金华,54,0,0,20
2020/02/12 14:58,嘉兴,42,0,0,6
2020/02/12 14:58,绍兴,41,0,0,13
2020/02/12 14:58,衢州,21,0,0,5
2020/02/12 14:58,丽水,17,0,0,7
2020/02/12 14:58,舟山,10,0,0,5
2020/02/12 14:58,湖州,10,0,0,4
2020/02/12 13:20,温州,481,0,0,107
2020/02/12 13:20,杭州,159,0,0,51
2020/02/12 13:20,宁波,153,0,0,24
2020/02/12 13:20,台州,143,0,0,38
2020/02/12 13:20,金华,54,0,0,20
2020/02/12 13:20,嘉兴,42,0,0,6
2020/02/12 13:20,绍兴,41,0,0,13
2020/02/12 13:20,衢州,21,0,0,5
2020/02/12 13:20,丽水,17,0,0,7
2020/02/12 13:20,舟山,10,0,0,5
2020/02/12 13:20,湖州,10,0,0,4
2020/02/12 09:27,温州,481,0,0,107
2020/02/12 09:27,杭州,159,0,0,51
2020/02/12 09:27,宁波,153,0,0,24
2020/02/12 09:27,台州,143,0,0,38
2020/02/12 09:27,金华,54,0,0,19
2020/02/12 09:27,嘉兴,42,0,0,6
2020/02/12 09:27,绍兴,41,0,0,13
2020/02/12 09:27,衢州,21,0,0,5
2020/02/12 09:27,丽水,17,0,0,7
2020/02/12 09:27,舟山,10,0,0,5
2020/02/12 09:27,湖州,10,0,0,4
2020/02/12 09:19,温州,474,0,0,102
2020/02/12 09:19,杭州,157,0,0,48
2020/02/12 09:19,宁波,151,0,0,24
2020/02/12 09:19,台州,143,0,0,38
2020/02/12 09:19,金华,53,0,0,19
2020/02/12 09:19,绍兴,41,0,0,12
2020/02/12 09:19,嘉兴,40,0,0,6
2020/02/12 09:19,衢州,21,0,0,5
2020/02/12 09:19,丽水,17,0,0,7
2020/02/12 09:19,湖州,10,0,0,4
2020/02/12 09:19,舟山,10,0,0,5
2020/02/11 20:46,温州,474,0,0,102
2020/02/11 20:46,杭州,157,0,0,48
2020/02/11 20:46,宁波,151,0,0,24
2020/02/11 20:46,台州,143,0,0,38
2020/02/11 20:46,金华,53,0,0,19
2020/02/11 20:46,绍兴,41,0,0,12
2020/02/11 20:46,嘉兴,40,0,0,6
2020/02/11 20:46,衢州,21,0,0,5
2020/02/11 20:46,丽水,17,0,0,7
2020/02/11 20:46,湖州,10,0,0,4
2020/02/11 20:46,舟山,10,0,0,5
2020/02/11 19:21,温州,474,0,0,102
2020/02/11 19:21,杭州,157,0,0,48
2020/02/11 19:21,宁波,151,0,0,24
2020/02/11 19:21,台州,143,0,0,38
2020/02/11 19:21,金华,53,0,0,16
2020/02/11 19:21,绍兴,41,0,0,12
2020/02/11 19:21,嘉兴,40,0,0,6
2020/02/11 19:21,衢州,21,0,0,5
2020/02/11 19:21,丽水,17,0,0,7
2020/02/11 19:21,湖州,10,0,0,4
2020/02/11 19:21,舟山,10,0,0,5
2020/02/11 17:37,温州,474,0,0,102
2020/02/11 17:37,杭州,157,0,0,48
2020/02/11 17:37,宁波,151,0,0,23
2020/02/11 17:37,台州,143,0,0,38
2020/02/11 17:37,金华,53,0,0,16
2020/02/11 17:37,绍兴,41,0,0,12
2020/02/11 17:37,嘉兴,40,0,0,6
2020/02/11 17:37,衢州,21,0,0,5
2020/02/11 17:37,丽水,17,0,0,5
2020/02/11 17:37,湖州,10,0,0,3
2020/02/11 17:37,舟山,10,0,0,5
2020/02/11 16:15,温州,474,0,0,99
2020/02/11 16:15,杭州,157,0,0,48
2020/02/11 16:15,宁波,151,0,0,18
2020/02/11 16:15,台州,143,0,0,38
2020/02/11 16:15,金华,53,0,0,16
2020/02/11 16:15,绍兴,41,0,0,12
2020/02/11 16:15,嘉兴,40,0,0,6
2020/02/11 16:15,衢州,21,0,0,5
2020/02/11 16:15,丽水,17,0,0,5
2020/02/11 16:15,湖州,10,0,0,3
2020/02/11 16:15,舟山,10,0,0,5
2020/02/11 14:45,温州,474,0,0,99
2020/02/11 14:45,杭州,157,0,0,48
2020/02/11 14:45,宁波,151,0,0,18
2020/02/11 14:45,台州,143,0,0,38
2020/02/11 14:45,金华,53,0,0,16
2020/02/11 14:45,绍兴,41,0,0,12
2020/02/11 14:45,嘉兴,40,0,0,5
2020/02/11 14:45,衢州,21,0,0,5
2020/02/11 14:45,丽水,17,0,0,5
2020/02/11 14:45,湖州,10,0,0,3
2020/02/11 14:45,舟山,10,0,0,5
2020/02/11 09:30,温州,474,0,0,99
2020/02/11 09:30,杭州,157,0,0,47
2020/02/11 09:30,宁波,151,0,0,18
2020/02/11 09:30,台州,143,0,0,35
2020/02/11 09:30,金华,53,0,0,16
2020/02/11 09:30,绍兴,41,0,0,12
2020/02/11 09:30,嘉兴,40,0,0,5
2020/02/11 09:30,衢州,21,0,0,5
2020/02/11 09:30,丽水,17,0,0,5
2020/02/11 09:30,湖州,10,0,0,3
2020/02/11 09:30,舟山,10,0,0,5
2020/02/10 22:08,温州,464,0,0,99
2020/02/10 22:08,杭州,155,0,0,41
2020/02/10 22:08,宁波,149,0,0,18
2020/02/10 22:08,台州,141,0,0,35
2020/02/10 22:08,金华,53,0,0,16
2020/02/10 22:08,绍兴,41,0,0,10
2020/02/10 22:08,嘉兴,40,0,0,5
2020/02/10 22:08,丽水,17,0,0,5
2020/02/10 22:08,衢州,15,0,0,5
2020/02/10 22:08,湖州,10,0,0,3
2020/02/10 22:08,舟山,7,0,0,5
2020/02/10 17:44,温州,464,0,0,99
2020/02/10 17:44,杭州,155,0,0,41
2020/02/10 17:44,宁波,149,0,0,18
2020/02/10 17:44,台州,141,0,0,35
2020/02/10 17:44,金华,53,0,0,15
2020/02/10 17:44,绍兴,41,0,0,10
2020/02/10 17:44,嘉兴,40,0,0,3
2020/02/10 17:44,丽水,17,0,0,5
2020/02/10 17:44,衢州,15,0,0,5
2020/02/10 17:44,湖州,10,0,0,3
2020/02/10 17:44,舟山,7,0,0,5
2020/02/10 17:09,温州,464,0,0,78
2020/02/10 17:09,杭州,155,0,0,41
2020/02/10 17:09,宁波,149,0,0,18
2020/02/10 17:09,台州,141,0,0,35
2020/02/10 17:09,金华,53,0,0,15
2020/02/10 17:09,绍兴,41,0,0,10
2020/02/10 17:09,嘉兴,40,0,0,3
2020/02/10 17:09,丽水,17,0,0,5
2020/02/10 17:09,衢州,15,0,0,5
2020/02/10 17:09,湖州,10,0,0,3
2020/02/10 17:09,舟山,7,0,0,5
2020/02/10 15:19,温州,464,0,0,78
2020/02/10 15:19,杭州,155,0,0,41
2020/02/10 15:19,宁波,149,0,0,15
2020/02/10 15:19,台州,141,0,0,35
2020/02/10 15:19,金华,53,0,0,15
2020/02/10 15:19,绍兴,41,0,0,10
2020/02/10 15:19,嘉兴,40,0,0,3
2020/02/10 15:19,丽水,17,0,0,5
2020/02/10 15:19,衢州,15,0,0,5
2020/02/10 15:19,湖州,10,0,0,3
2020/02/10 15:19,舟山,7,0,0,5
2020/02/10 13:18,温州,464,0,0,78
2020/02/10 13:18,杭州,155,0,0,41
2020/02/10 13:18,宁波,149,0,0,15
2020/02/10 13:18,台州,141,0,0,35
2020/02/10 13:18,金华,53,0,0,15
2020/02/10 13:18,绍兴,41,0,0,8
