时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 00:57,三亚,54,0,1,11
2020/02/13 00:57,海口,29,0,0,10
2020/02/13 00:57,儋州,15,0,0,1
2020/02/13 00:57,万宁,13,0,0,1
2020/02/13 00:57,澄迈,8,0,1,1
2020/02/13 00:57,昌江,7,0,0,0
2020/02/13 00:57,临高,6,0,0,1
2020/02/13 00:57,琼海,6,0,1,0
2020/02/13 00:57,陵水,4,0,0,0
2020/02/13 00:57,东方,3,0,0,1
2020/02/13 00:57,定安,3,0,1,0
2020/02/13 00:57,文昌,3,0,0,0
2020/02/13 00:57,保亭,3,0,0,0
2020/02/13 00:57,乐东,2,0,0,0
2020/02/13 00:57,琼中,1,0,0,1
2020/02/13 00:19,三亚,54,0,1,11
2020/02/13 00:19,海口,29,0,0,10
2020/02/13 00:19,儋州,15,0,0,1
2020/02/13 00:19,万宁,13,0,0,1
2020/02/13 00:19,澄迈,8,0,1,1
2020/02/13 00:19,昌江,7,0,0,0
2020/02/13 00:19,临高,6,0,0,1
2020/02/13 00:19,琼海,6,0,1,0
2020/02/13 00:19,陵水,4,0,0,0
2020/02/13 00:19,东方,3,0,0,1
2020/02/13 00:19,定安,3,0,0,0
2020/02/13 00:19,文昌,3,0,0,0
2020/02/13 00:19,保亭,3,0,0,0
2020/02/13 00:19,乐东,2,0,0,0
2020/02/13 00:19,琼中,1,0,0,1
2020/02/12 17:33,三亚,54,0,1,11
2020/02/12 17:33,海口,29,0,0,10
2020/02/12 17:33,儋州,15,0,0,1
2020/02/12 17:33,万宁,13,0,0,1
2020/02/12 17:33,澄迈,8,0,1,1
2020/02/12 17:33,昌江,7,0,0,0
2020/02/12 17:33,临高,6,0,0,1
2020/02/12 17:33,琼海,6,0,1,0
2020/02/12 17:33,陵水,4,0,0,0
2020/02/12 17:33,东方,3,0,0,1
2020/02/12 17:33,定安,3,0,0,0
2020/02/12 17:33,文昌,3,0,0,0
2020/02/12 17:33,保亭,3,0,0,0
