时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 07:56,武汉,32994,0,1036,1916
2020/02/13 07:56,孝感,2874,0,49,207
2020/02/13 07:56,黄冈,2662,0,58,427
2020/02/13 07:56,荆州,1431,0,23,101
2020/02/13 07:56,随州,1160,0,14,62
2020/02/13 07:56,襄阳,1101,0,13,66
2020/02/13 07:56,鄂州,1065,0,30,95
2020/02/13 07:56,荆门,927,0,24,92
2020/02/13 07:56,黄石,911,0,9,113
2020/02/13 07:56,宜昌,810,0,11,72
2020/02/13 07:56,十堰,562,0,1,81
2020/02/13 07:56,咸宁,534,0,7,84
2020/02/13 07:56,仙桃,480,0,16,48
2020/02/13 07:56,天门,362,0,10,13
2020/02/13 07:56,恩施州,229,0,4,48
2020/02/13 07:56,潜江,94,0,5,8
2020/02/13 07:56,神农架林区,10,0,0,8
2020/02/13 00:19,武汉,19558,0,820,1380
2020/02/13 00:19,孝感,2751,0,45,179
2020/02/13 00:19,黄冈,2398,0,54,342
2020/02/13 00:19,随州,1129,0,12,56
2020/02/13 00:19,荆州,1110,0,21,80
2020/02/13 00:19,襄阳,1088,0,12,60
2020/02/13 00:19,黄石,874,0,6,101
2020/02/13 00:19,鄂州,861,0,28,72
2020/02/13 00:19,宜昌,784,0,8,62
2020/02/13 00:19,荆门,696,0,24,84
2020/02/13 00:19,十堰,536,0,1,79
2020/02/13 00:19,咸宁,525,0,6,76
2020/02/13 00:19,仙桃,460,0,13,43
2020/02/13 00:19,天门,293,0,10,12
2020/02/13 00:19,恩施州,203,0,3,45
2020/02/13 00:19,潜江,90,0,5,8
2020/02/13 00:19,神农架林区,10,0,0,7
2020/02/12 22:07,武汉,19558,0,820,1380
2020/02/12 22:07,孝感,2751,0,45,179
2020/02/12 22:07,黄冈,2398,0,54,342
2020/02/12 22:07,随州,1129,0,12,56
2020/02/12 22:07,荆州,1110,0,21,80
2020/02/12 22:07,襄阳,1088,0,12,60
2020/02/12 22:07,黄石,874,0,6,101
2020/02/12 22:07,鄂州,861,0,28,72
2020/02/12 22:07,宜昌,784,0,8,62
2020/02/12 22:07,荆门,696,0,24,84
2020/02/12 22:07,十堰,536,0,1,79
2020/02/12 22:07,咸宁,525,0,6,76
2020/02/12 22:07,仙桃,460,0,13,43
2020/02/12 22:07,天门,293,0,10,12
2020/02/12 22:07,恩施州,203,0,3,45
2020/02/12 22:07,潜江,90,0,5,8
2020/02/12 22:07,神农架林区,10,0,0,7
2020/02/12 20:41,武汉,19558,0,820,1379
2020/02/12 20:41,孝感,2751,0,45,179
2020/02/12 20:41,黄冈,2398,0,54,342
2020/02/12 20:41,随州,1129,0,12,56
2020/02/12 20:41,荆州,1110,0,21,80
2020/02/12 20:41,襄阳,1088,0,12,60
2020/02/12 20:41,黄石,874,0,6,101
2020/02/12 20:41,鄂州,861,0,28,72
2020/02/12 20:41,宜昌,784,0,8,62
2020/02/12 20:41,荆门,696,0,24,84
2020/02/12 20:41,十堰,536,0,1,70
2020/02/12 20:41,咸宁,525,0,6,68
2020/02/12 20:41,仙桃,460,0,13,43
2020/02/12 20:41,天门,293,0,10,12
2020/02/12 20:41,恩施州,203,0,3,45
2020/02/12 20:41,潜江,90,0,5,8
2020/02/12 20:41,神农架林区,10,0,0,7
2020/02/12 19:08,武汉,19558,0,820,1379
2020/02/12 19:08,孝感,2751,0,45,179
2020/02/12 19:08,黄冈,2398,0,54,342
2020/02/12 19:08,随州,1129,0,12,56
2020/02/12 19:08,荆州,1110,0,21,80
2020/02/12 19:08,襄阳,1088,0,12,60
2020/02/12 19:08,黄石,874,0,6,101
2020/02/12 19:08,鄂州,861,0,28,72
2020/02/12 19:08,宜昌,784,0,8,62
2020/02/12 19:08,荆门,696,0,24,81
2020/02/12 19:08,十堰,536,0,1,70
2020/02/12 19:08,咸宁,525,0,6,68
2020/02/12 19:08,仙桃,460,0,13,43
2020/02/12 19:08,天门,293,0,10,12
2020/02/12 19:08,恩施州,203,0,3,40
2020/02/12 19:08,潜江,90,0,5,8
2020/02/12 19:08,神农架林区,10,0,0,7
2020/02/12 18:03,武汉,19558,0,820,1379
2020/02/12 18:03,孝感,2751,0,45,179
2020/02/12 18:03,黄冈,2398,0,54,338
2020/02/12 18:03,随州,1129,0,12,56
2020/02/12 18:03,荆州,1110,0,21,80
2020/02/12 18:03,襄阳,1088,0,12,60
2020/02/12 18:03,黄石,874,0,6,101
2020/02/12 18:03,鄂州,861,0,28,72
2020/02/12 18:03,宜昌,784,0,8,62
2020/02/12 18:03,荆门,696,0,24,81
2020/02/12 18:03,十堰,536,0,1,70
2020/02/12 18:03,咸宁,525,0,6,68
2020/02/12 18:03,仙桃,460,0,13,43
2020/02/12 18:03,天门,293,0,10,12
2020/02/12 18:03,恩施州,203,0,3,38
2020/02/12 18:03,潜江,90,0,5,8
2020/02/12 18:03,神农架林区,10,0,0,7
2020/02/12 16:00,武汉,19558,0,820,1379
2020/02/12 16:00,孝感,2751,0,45,179
2020/02/12 16:00,黄冈,2398,0,54,338
2020/02/12 16:00,随州,1129,0,12,56
2020/02/12 16:00,荆州,1110,0,21,80
2020/02/12 16:00,襄阳,1088,0,12,60
2020/02/12 16:00,黄石,874,0,6,96
2020/02/12 16:00,鄂州,861,0,28,72
2020/02/12 16:00,宜昌,784,0,8,62
2020/02/12 16:00,荆门,696,0,24,81
2020/02/12 16:00,十堰,536,0,1,70
2020/02/12 16:00,咸宁,525,0,6,65
2020/02/12 16:00,仙桃,460,0,13,43
2020/02/12 16:00,天门,293,0,10,12
2020/02/12 16:00,恩施州,203,0,3,38
2020/02/12 16:00,潜江,90,0,5,8
2020/02/12 16:00,神农架林区,10,0,0,7
2020/02/12 14:58,武汉,19558,0,820,1378
2020/02/12 14:58,孝感,2751,0,45,179
2020/02/12 14:58,黄冈,2398,0,54,338
2020/02/12 14:58,随州,1129,0,12,51
2020/02/12 14:58,荆州,1110,0,21,79
2020/02/12 14:58,襄阳,1088,0,12,60
2020/02/12 14:58,黄石,874,0,6,96
2020/02/12 14:58,鄂州,861,0,28,72
2020/02/12 14:58,宜昌,784,0,8,62
2020/02/12 14:58,荆门,696,0,24,81
2020/02/12 14:58,十堰,536,0,1,70
2020/02/12 14:58,咸宁,525,0,6,65
2020/02/12 14:58,仙桃,460,0,13,43
2020/02/12 14:58,天门,293,0,10,12
2020/02/12 14:58,恩施州,203,0,3,38
2020/02/12 14:58,潜江,90,0,5,8
2020/02/12 14:58,神农架林区,10,0,0,7
2020/02/12 07:26,武汉,19558,0,820,1378
2020/02/12 07:26,孝感,2751,0,45,179
2020/02/12 07:26,黄冈,2398,0,54,338
2020/02/12 07:26,随州,1129,0,12,51
2020/02/12 07:26,荆州,1110,0,21,79
2020/02/12 07:26,襄阳,1088,0,12,60
