时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 13:27,长沙,228,0,0,57
2020/02/13 13:27,岳阳,148,0,1,42
2020/02/13 13:27,邵阳,99,0,1,33
2020/02/13 13:27,常德,77,0,0,26
2020/02/13 13:27,株洲,75,0,0,14
2020/02/13 13:27,娄底,72,0,0,22
2020/02/13 13:27,益阳,59,0,0,22
2020/02/13 13:27,衡阳,45,0,0,23
2020/02/13 13:27,永州,43,0,0,18
2020/02/13 13:27,怀化,39,0,0,23
2020/02/13 13:27,郴州,38,0,0,15
2020/02/13 13:27,湘潭,32,0,0,12
2020/02/13 13:27,湘西自治州,8,0,0,6
2020/02/13 13:27,张家界,5,0,0,3
2020/02/13 11:57,长沙,228,0,0,57
2020/02/13 11:57,岳阳,148,0,1,42
2020/02/13 11:57,邵阳,99,0,1,33
2020/02/13 11:57,常德,77,0,0,26
2020/02/13 11:57,株洲,75,0,0,14
2020/02/13 11:57,娄底,72,0,0,22
2020/02/13 11:57,益阳,59,0,0,22
2020/02/13 11:57,衡阳,45,0,0,23
2020/02/13 11:57,永州,43,0,0,18
2020/02/13 11:57,怀化,39,0,0,21
2020/02/13 11:57,郴州,38,0,0,15
2020/02/13 11:57,湘潭,32,0,0,12
2020/02/13 11:57,湘西自治州,8,0,0,6
2020/02/13 11:57,张家界,5,0,0,3
2020/02/13 09:25,长沙,228,0,0,57
2020/02/13 09:25,岳阳,148,0,1,42
2020/02/13 09:25,邵阳,99,0,1,33
2020/02/13 09:25,常德,77,0,0,24
2020/02/13 09:25,株洲,75,0,0,14
2020/02/13 09:25,娄底,72,0,0,22
2020/02/13 09:25,益阳,59,0,0,22
2020/02/13 09:25,衡阳,45,0,0,23
2020/02/13 09:25,永州,43,0,0,18
2020/02/13 09:25,怀化,39,0,0,21
2020/02/13 09:25,郴州,38,0,0,15
2020/02/13 09:25,湘潭,32,0,0,12
2020/02/13 09:25,湘西自治州,8,0,0,6
2020/02/13 09:25,张家界,5,0,0,3
2020/02/13 00:19,长沙,223,0,0,56
2020/02/13 00:19,岳阳,146,0,1,42
2020/02/13 00:19,邵阳,94,0,1,33
2020/02/13 00:19,常德,75,0,0,24
2020/02/13 00:19,株洲,71,0,0,12
2020/02/13 00:19,娄底,69,0,0,18
2020/02/13 00:19,益阳,58,0,0,22
2020/02/13 00:19,衡阳,45,0,0,23
2020/02/13 00:19,永州,43,0,0,18
2020/02/13 00:19,怀化,39,0,0,21
2020/02/13 00:19,郴州,38,0,0,15
2020/02/13 00:19,湘潭,32,0,0,11
2020/02/13 00:19,湘西自治州,8,0,0,6
2020/02/13 00:19,张家界,5,0,0,3
2020/02/12 20:41,长沙,223,0,0,56
2020/02/12 20:41,岳阳,146,0,1,42
2020/02/12 20:41,邵阳,94,0,1,33
2020/02/12 20:41,常德,75,0,0,24
2020/02/12 20:41,株洲,71,0,0,12
2020/02/12 20:41,娄底,69,0,0,18
2020/02/12 20:41,益阳,58,0,0,22
2020/02/12 20:41,衡阳,45,0,0,23
2020/02/12 20:41,永州,43,0,0,18
2020/02/12 20:41,怀化,39,0,0,21
2020/02/12 20:41,郴州,38,0,0,15
2020/02/12 20:41,湘潭,32,0,0,11
2020/02/12 20:41,湘西自治州,8,0,0,6
2020/02/12 20:41,张家界,5,0,0,3
2020/02/12 20:15,长沙,223,0,0,56
2020/02/12 20:15,岳阳,146,0,1,32
2020/02/12 20:15,邵阳,94,0,1,33
2020/02/12 20:15,常德,75,0,0,24
2020/02/12 20:15,株洲,71,0,0,12
2020/02/12 20:15,娄底,69,0,0,18
2020/02/12 20:15,益阳,58,0,0,22
2020/02/12 20:15,衡阳,45,0,0,23
2020/02/12 20:15,永州,43,0,0,18
2020/02/12 20:15,怀化,39,0,0,21
2020/02/12 20:15,郴州,38,0,0,15
2020/02/12 20:15,湘潭,32,0,0,11
2020/02/12 20:15,湘西自治州,8,0,0,6
2020/02/12 20:15,张家界,5,0,0,3
2020/02/12 19:08,长沙,223,0,0,56
2020/02/12 19:08,岳阳,146,0,1,32
2020/02/12 19:08,邵阳,94,0,1,30
2020/02/12 19:08,常德,75,0,0,24
2020/02/12 19:08,株洲,71,0,0,12
2020/02/12 19:08,娄底,69,0,0,18
2020/02/12 19:08,益阳,58,0,0,22
2020/02/12 19:08,衡阳,45,0,0,23
2020/02/12 19:08,永州,43,0,0,18
2020/02/12 19:08,怀化,39,0,0,21
2020/02/12 19:08,郴州,38,0,0,15
2020/02/12 19:08,湘潭,32,0,0,11
2020/02/12 19:08,湘西自治州,8,0,0,6
2020/02/12 19:08,张家界,5,0,0,3
2020/02/12 16:00,长沙,223,0,0,56
2020/02/12 16:00,岳阳,146,0,1,24
2020/02/12 16:00,邵阳,94,0,1,30
2020/02/12 16:00,常德,75,0,0,24
2020/02/12 16:00,株洲,71,0,0,12
2020/02/12 16:00,娄底,69,0,0,18
2020/02/12 16:00,益阳,58,0,0,22
2020/02/12 16:00,衡阳,45,0,0,23
2020/02/12 16:00,永州,43,0,0,18
2020/02/12 16:00,怀化,39,0,0,21
2020/02/12 16:00,郴州,38,0,0,15
2020/02/12 16:00,湘潭,32,0,0,11
2020/02/12 16:00,湘西自治州,8,0,0,6
2020/02/12 16:00,张家界,5,0,0,3
2020/02/12 14:58,长沙,223,0,0,48
2020/02/12 14:58,岳阳,146,0,1,24
2020/02/12 14:58,邵阳,94,0,1,25
2020/02/12 14:58,常德,75,0,0,24
2020/02/12 14:58,株洲,71,0,0,12
2020/02/12 14:58,娄底,69,0,0,18
2020/02/12 14:58,益阳,58,0,0,22
2020/02/12 14:58,衡阳,45,0,0,23
2020/02/12 14:58,永州,43,0,0,18
2020/02/12 14:58,怀化,39,0,0,21
2020/02/12 14:58,郴州,38,0,0,14
2020/02/12 14:58,湘潭,32,0,0,11
2020/02/12 14:58,湘西自治州,8,0,0,6
2020/02/12 14:58,张家界,5,0,0,3
2020/02/12 12:40,长沙,223,0,0,48
2020/02/12 12:40,岳阳,146,0,1,24
2020/02/12 12:40,邵阳,94,0,1,25
2020/02/12 12:40,常德,75,0,0,24
2020/02/12 12:40,株洲,71,0,0,12
2020/02/12 12:40,娄底,69,0,0,18
2020/02/12 12:40,益阳,58,0,0,22
2020/02/12 12:40,衡阳,45,0,0,23
2020/02/12 12:40,永州,43,0,0,18
2020/02/12 12:40,怀化,39,0,0,21
2020/02/12 12:40,郴州,38,0,0,14
2020/02/12 12:40,湘潭,32,0,0,11
2020/02/12 12:40,湘西自治州,8,0,0,6
2020/02/12 12:40,张家界,5,0,0,3
2020/02/12 09:38,长沙,223,0,0,48
2020/02/12 09:38,岳阳,146,0,1,24
2020/02/12 09:38,邵阳,94,0,1,25
2020/02/12 09:38,常德,75,0,0,18
2020/02/12 09:38,株洲,71,0,0,12
2020/02/12 09:38,娄底,69,0,0,18
2020/02/12 09:38,益阳,58,0,0,22
2020/02/12 09:38,衡阳,45,0,0,23
2020/02/12 09:38,永州,43,0,0,18
2020/02/12 09:38,怀化,39,0,0,21
2020/02/12 09:38,郴州,38,0,0,14
2020/02/12 09:38,湘潭,32,0,0,11
2020/02/12 09:38,湘西自治州,8,0,0,6
2020/02/12 09:38,张家界,5,0,0,3
2020/02/12 09:27,长沙,219,0,0,48
2020/02/12 09:27,岳阳,134,0,1,21
2020/02/12 09:27,邵阳,91,0,0,25
2020/02/12 09:27,常德,73,0,0,18
2020/02/12 09:27,娄底,69,0,0,12
2020/02/12 09:27,株洲,68,0,0,11
2020/02/12 09:27,益阳,54,0,0,16
2020/02/12 09:27,衡阳,45,0,0,23
2020/02/12 09:27,永州,42,0,0,18
2020/02/12 09:27,怀化,39,0,0,21
2020/02/12 09:27,郴州,33,0,0,14
2020/02/12 09:27,湘潭,32,0,0,11
2020/02/12 09:27,湘西自治州,8,0,0,6
2020/02/12 09:27,张家界,5,0,0,3
2020/02/11 20:46,长沙,219,0,0,48
2020/02/11 20:46,岳阳,134,0,1,21
2020/02/11 20:46,邵阳,91,0,0,25
2020/02/11 20:46,常德,73,0,0,18
2020/02/11 20:46,娄底,69,0,0,12
2020/02/11 20:46,株洲,68,0,0,11
2020/02/11 20:46,益阳,54,0,0,16
2020/02/11 20:46,衡阳,45,0,0,23
2020/02/11 20:46,永州,42,0,0,18
2020/02/11 20:46,怀化,39,0,0,21
2020/02/11 20:46,郴州,33,0,0,14
2020/02/11 20:46,湘潭,32,0,0,11
2020/02/11 20:46,湘西自治州,8,0,0,6
2020/02/11 20:46,张家界,5,0,0,3
2020/02/11 19:21,长沙,219,0,0,48
2020/02/11 19:21,岳阳,134,0,1,21
2020/02/11 19:21,邵阳,91,0,0,25
2020/02/11 19:21,常德,73,0,0,18
2020/02/11 19:21,娄底,69,0,0,12
2020/02/11 19:21,株洲,68,0,0,11
2020/02/11 19:21,益阳,54,0,0,16
2020/02/11 19:21,衡阳,45,0,0,20
2020/02/11 19:21,永州,42,0,0,18
2020/02/11 19:21,怀化,39,0,0,21
2020/02/11 19:21,郴州,33,0,0,14
2020/02/11 19:21,湘潭,32,0,0,11
2020/02/11 19:21,湘西自治州,8,0,0,6
2020/02/11 19:21,张家界,5,0,0,3
2020/02/11 17:37,长沙,219,0,0,48
2020/02/11 17:37,岳阳,134,0,1,21
2020/02/11 17:37,邵阳,91,0,0,25
2020/02/11 17:37,常德,73,0,0,18
2020/02/11 17:37,娄底,69,0,0,12
2020/02/11 17:37,株洲,68,0,0,11
2020/02/11 17:37,益阳,54,0,0,16
2020/02/11 17:37,衡阳,45,0,0,16
2020/02/11 17:37,永州,42,0,0,18
2020/02/11 17:37,怀化,39,0,0,21
2020/02/11 17:37,郴州,33,0,0,13
2020/02/11 17:37,湘潭,32,0,0,11
2020/02/11 17:37,湘西自治州,8,0,0,6
2020/02/11 17:37,张家界,5,0,0,3
2020/02/11 16:03,长沙,219,0,0,48
2020/02/11 16:03,岳阳,134,0,1,21
2020/02/11 16:03,邵阳,91,0,0,22
2020/02/11 16:03,常德,73,0,0,18
2020/02/11 16:03,娄底,69,0,0,12
2020/02/11 16:03,株洲,68,0,0,11
2020/02/11 16:03,益阳,54,0,0,16
2020/02/11 16:03,衡阳,45,0,0,16
2020/02/11 16:03,永州,42,0,0,13
2020/02/11 16:03,怀化,39,0,0,21
2020/02/11 16:03,郴州,33,0,0,13
2020/02/11 16:03,湘潭,32,0,0,11
2020/02/11 16:03,湘西自治州,8,0,0,6
2020/02/11 16:03,张家界,5,0,0,3
2020/02/11 13:37,长沙,219,0,0,39
2020/02/11 13:37,岳阳,134,0,1,21
2020/02/11 13:37,邵阳,91,0,0,22
2020/02/11 13:37,常德,73,0,0,18
2020/02/11 13:37,娄底,69,0,0,12
2020/02/11 13:37,株洲,68,0,0,11
2020/02/11 13:37,益阳,54,0,0,16
2020/02/11 13:37,衡阳,45,0,0,16
2020/02/11 13:37,永州,42,0,0,13
2020/02/11 13:37,怀化,39,0,0,21
2020/02/11 13:37,郴州,33,0,0,13
2020/02/11 13:37,湘潭,32,0,0,11
2020/02/11 13:37,湘西自治州,8,0,0,6
2020/02/11 13:37,张家界,5,0,0,3
2020/02/11 13:05,长沙,219,0,0,39
2020/02/11 13:05,岳阳,134,0,1,21
2020/02/11 13:05,邵阳,91,0,0,22
2020/02/11 13:05,常德,73,0,0,18
2020/02/11 13:05,娄底,69,0,0,12
2020/02/11 13:05,株洲,68,0,0,11
2020/02/11 13:05,益阳,54,0,0,16
2020/02/11 13:05,衡阳,45,0,0,16
2020/02/11 13:05,永州,42,0,0,13
2020/02/11 13:05,怀化,39,0,0,15
2020/02/11 13:05,郴州,33,0,0,13
2020/02/11 13:05,湘潭,32,0,0,11
2020/02/11 13:05,湘西自治州,8,0,0,6
2020/02/11 13:05,张家界,5,0,0,3
2020/02/11 09:42,长沙,219,0,0,39
2020/02/11 09:42,岳阳,134,0,1,21
2020/02/11 09:42,邵阳,91,0,0,22
2020/02/11 09:42,常德,73,0,0,15
2020/02/11 09:42,娄底,69,0,0,12
2020/02/11 09:42,株洲,68,0,0,11
2020/02/11 09:42,益阳,54,0,0,16
2020/02/11 09:42,衡阳,45,0,0,16
2020/02/11 09:42,永州,42,0,0,13
2020/02/11 09:42,怀化,39,0,0,15
2020/02/11 09:42,郴州,33,0,0,13
2020/02/11 09:42,湘潭,32,0,0,11
2020/02/11 09:42,湘西自治州,8,0,0,6
2020/02/11 09:42,张家界,5,0,0,3
2020/02/10 21:47,长沙,213,0,0,39
2020/02/10 21:47,岳阳,124,0,1,21
2020/02/10 21:47,邵阳,89,0,0,22
2020/02/10 21:47,常德,72,0,0,15
2020/02/10 21:47,娄底,66,0,0,8
2020/02/10 21:47,株洲,61,0,0,10
2020/02/10 21:47,益阳,53,0,0,16
2020/02/10 21:47,衡阳,45,0,0,16
2020/02/10 21:47,永州,41,0,0,13
2020/02/10 21:47,怀化,39,0,0,15
2020/02/10 21:47,郴州,32,0,0,13
2020/02/10 21:47,湘潭,31,0,0,11
2020/02/10 21:47,湘西自治州,8,0,0,6
2020/02/10 21:47,张家界,5,0,0,3
2020/02/10 13:18,长沙,213,0,0,39
2020/02/10 13:18,岳阳,124,0,1,17
2020/02/10 13:18,邵阳,89,0,0,21
2020/02/10 13:18,常德,72,0,0,15
2020/02/10 13:18,娄底,66,0,0,8
2020/02/10 13:18,株洲,61,0,0,10
2020/02/10 13:18,益阳,53,0,0,16
2020/02/10 13:18,衡阳,45,0,0,14
2020/02/10 13:18,永州,41,0,0,13
2020/02/10 13:18,怀化,39,0,0,15
2020/02/10 13:18,郴州,32,0,0,13
2020/02/10 13:18,湘潭,31,0,0,11
2020/02/10 13:18,湘西自治州,8,0,0,6
2020/02/10 13:18,张家界,5,0,0,3
2020/02/10 12:37,长沙,213,0,0,33
2020/02/10 12:37,岳阳,124,0,1,17
2020/02/10 12:37,邵阳,89,0,0,21
2020/02/10 12:37,常德,72,0,0,15
2020/02/10 12:37,娄底,66,0,0,8
