时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 14:10,兰州,35,0,2,14
2020/02/13 14:10,天水,12,0,0,6
2020/02/13 14:10,定西,8,0,0,2
2020/02/13 14:10,平凉,8,0,0,1
2020/02/13 14:10,甘南,7,0,0,1
2020/02/13 14:10,白银,4,0,0,0
2020/02/13 14:10,陇南,4,0,0,0
2020/02/13 14:10,临夏,3,0,0,3
2020/02/13 14:10,庆阳,3,0,0,1
2020/02/13 14:10,张掖,2,0,0,2
2020/02/13 14:10,金昌,1,0,0,1
2020/02/13 14:10,待明确地区,0,0,0,2
2020/02/13 07:20,兰州,35,0,2,14
2020/02/13 07:20,天水,12,0,0,6
2020/02/13 07:20,定西,8,0,0,2
2020/02/13 07:20,平凉,8,0,0,1
2020/02/13 07:20,甘南,7,0,0,1
2020/02/13 07:20,白银,4,0,0,0
2020/02/13 07:20,陇南,4,0,0,0
2020/02/13 07:20,临夏,3,0,0,2
2020/02/13 07:20,庆阳,3,0,0,1
2020/02/13 07:20,张掖,2,0,0,1
2020/02/13 07:20,金昌,1,0,0,1
2020/02/13 07:20,待明确地区,0,0,0,2
2020/02/13 00:19,兰州,35,0,2,14
2020/02/13 00:19,天水,12,0,0,6
2020/02/13 00:19,定西,8,0,0,2
2020/02/13 00:19,平凉,8,0,0,1
2020/02/13 00:19,甘南,6,0,0,1
2020/02/13 00:19,白银,4,0,0,0
2020/02/13 00:19,陇南,4,0,0,0
2020/02/13 00:19,临夏,3,0,0,2
2020/02/13 00:19,庆阳,3,0,0,1
2020/02/13 00:19,张掖,2,0,0,1
2020/02/13 00:19,金昌,1,0,0,1
2020/02/12 22:55,兰州,35,0,2,14
2020/02/12 22:55,天水,12,0,0,6
2020/02/12 22:55,定西,8,0,0,2
2020/02/12 22:55,平凉,8,0,0,1
2020/02/12 22:55,甘南,6,0,0,1
2020/02/12 22:55,白银,4,0,0,0
2020/02/12 22:55,陇南,4,0,0,0
2020/02/12 22:55,临夏,3,0,0,2
2020/02/12 22:55,庆阳,3,0,0,1
2020/02/12 22:55,张掖,2,0,0,1
2020/02/12 22:55,金昌,1,0,0,1
2020/02/12 16:16,兰州,35,0,2,14
2020/02/12 16:16,天水,12,0,0,6
2020/02/12 16:16,定西,8,0,0,2
2020/02/12 16:16,平凉,8,0,0,0
2020/02/12 16:16,甘南,6,0,0,1
2020/02/12 16:16,白银,4,0,0,0
2020/02/12 16:16,陇南,4,0,0,0
2020/02/12 16:16,临夏,3,0,0,2
2020/02/12 16:16,庆阳,3,0,0,1
2020/02/12 16:16,张掖,2,0,0,1
2020/02/12 16:16,金昌,1,0,0,1
2020/02/12 16:00,兰州,35,0,2,14
2020/02/12 16:00,天水,12,0,0,6
2020/02/12 16:00,定西,8,0,0,2
2020/02/12 16:00,平凉,8,0,0,0
2020/02/12 16:00,甘南,6,0,0,1
2020/02/12 16:00,白银,4,0,0,0
2020/02/12 16:00,陇南,4,0,0,0
2020/02/12 16:00,临夏,3,0,0,2
2020/02/12 16:00,庆阳,3,0,0,1
2020/02/12 16:00,张掖,2,0,0,1
2020/02/12 16:00,金昌,1,0,0,1
2020/02/12 16:00,待明确地区,0,0,0,6
2020/02/12 14:58,兰州,35,0,2,10
2020/02/12 14:58,天水,12,0,0,1
2020/02/12 14:58,定西,8,0,0,2
2020/02/12 14:58,平凉,8,0,0,0
2020/02/12 14:58,甘南,6,0,0,1
2020/02/12 14:58,白银,4,0,0,0
2020/02/12 14:58,陇南,4,0,0,0
