时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 08:35,福州,64,0,0,15
2020/02/13 08:35,莆田,54,0,0,8
2020/02/13 08:35,泉州,44,0,0,13
2020/02/13 08:35,厦门,34,0,0,4
2020/02/13 08:35,宁德,25,0,0,5
2020/02/13 08:35,南平,20,0,0,3
2020/02/13 08:35,漳州,19,0,0,4
2020/02/13 08:35,三明,13,0,0,1
2020/02/13 08:35,龙岩,6,0,0,1
2020/02/13 00:19,福州,64,0,0,15
2020/02/13 00:19,莆田,52,0,0,8
2020/02/13 00:19,泉州,43,0,0,13
2020/02/13 00:19,厦门,32,0,0,4
2020/02/13 00:19,宁德,24,0,0,5
2020/02/13 00:19,漳州,19,0,0,3
2020/02/13 00:19,南平,19,0,0,3
2020/02/13 00:19,三明,13,0,0,1
2020/02/13 00:19,龙岩,6,0,0,1
2020/02/12 19:44,福州,64,0,0,15
2020/02/12 19:44,莆田,52,0,0,8
2020/02/12 19:44,泉州,43,0,0,13
2020/02/12 19:44,厦门,32,0,0,4
2020/02/12 19:44,宁德,24,0,0,5
2020/02/12 19:44,漳州,19,0,0,3
2020/02/12 19:44,南平,19,0,0,3
2020/02/12 19:44,三明,13,0,0,1
2020/02/12 19:44,龙岩,6,0,0,1
2020/02/12 18:03,福州,64,0,0,15
2020/02/12 18:03,莆田,52,0,0,6
2020/02/12 18:03,泉州,43,0,0,13
2020/02/12 18:03,厦门,32,0,0,4
2020/02/12 18:03,宁德,24,0,0,5
2020/02/12 18:03,漳州,19,0,0,3
2020/02/12 18:03,南平,19,0,0,3
2020/02/12 18:03,三明,13,0,0,1
2020/02/12 18:03,龙岩,6,0,0,1
2020/02/12 16:17,福州,64,0,0,15
2020/02/12 16:17,莆田,52,0,0,6
2020/02/12 16:17,泉州,43,0,0,11
2020/02/12 16:17,厦门,32,0,0,4
2020/02/12 16:17,宁德,24,0,0,4
2020/02/12 16:17,漳州,19,0,0,3
2020/02/12 16:17,南平,19,0,0,3
2020/02/12 16:17,三明,13,0,0,1
2020/02/12 16:17,龙岩,6,0,0,1
2020/02/12 16:16,福州,64,0,0,15
2020/02/12 16:16,莆田,52,0,0,6
2020/02/12 16:16,泉州,43,0,0,11
2020/02/12 16:16,厦门,32,0,0,4
2020/02/12 16:16,宁德,24,0,0,4
2020/02/12 16:16,漳州,19,0,0,3
2020/02/12 16:16,南平,19,0,0,3
2020/02/12 16:16,三明,13,0,0,1
2020/02/12 16:16,龙岩,6,0,0,1
2020/02/12 16:16,待明确地区,0,0,0,1
2020/02/12 14:58,福州,64,0,0,13
2020/02/12 14:58,莆田,52,0,0,6
2020/02/12 14:58,泉州,43,0,0,11
2020/02/12 14:58,厦门,32,0,0,3
2020/02/12 14:58,宁德,24,0,0,4
2020/02/12 14:58,漳州,19,0,0,3
2020/02/12 14:58,南平,19,0,0,3
2020/02/12 14:58,三明,13,0,0,1
2020/02/12 14:58,龙岩,6,0,0,1
2020/02/12 14:58,待明确地区,0,0,0,1
2020/02/12 08:43,福州,64,0,0,13
2020/02/12 08:43,莆田,52,0,0,6
2020/02/12 08:43,泉州,43,0,0,11
2020/02/12 08:43,厦门,32,0,0,3
2020/02/12 08:43,宁德,24,0,0,4
2020/02/12 08:43,漳州,19,0,0,3
2020/02/12 08:43,南平,19,0,0,3
2020/02/12 08:43,三明,13,0,0,1
2020/02/12 08:43,龙岩,6,0,0,1
2020/02/12 08:43,待明确地区,0,0,0,1
2020/02/11 21:55,福州,63,0,0,13
2020/02/11 21:55,莆田,51,0,0,6
2020/02/11 21:55,泉州,43,0,0,11
2020/02/11 21:55,厦门,31,0,0,3
2020/02/11 21:55,宁德,24,0,0,4
2020/02/11 21:55,南平,19,0,0,3
2020/02/11 21:55,漳州,17,0,0,3
2020/02/11 21:55,三明,13,0,0,1
2020/02/11 21:55,龙岩,6,0,0,1
2020/02/11 18:50,福州,63,0,0,12
2020/02/11 18:50,莆田,51,0,0,6
2020/02/11 18:50,泉州,43,0,0,11
2020/02/11 18:50,厦门,31,0,0,3
2020/02/11 18:50,宁德,24,0,0,4
2020/02/11 18:50,南平,19,0,0,2
2020/02/11 18:50,漳州,17,0,0,3
2020/02/11 18:50,三明,13,0,0,1
2020/02/11 18:50,龙岩,6,0,0,1
2020/02/11 09:17,福州,63,0,0,12
2020/02/11 09:17,莆田,51,0,0,2
2020/02/11 09:17,泉州,43,0,0,11
2020/02/11 09:17,厦门,31,0,0,3
2020/02/11 09:17,宁德,24,0,0,4
2020/02/11 09:17,南平,19,0,0,2
2020/02/11 09:17,漳州,17,0,0,3
2020/02/11 09:17,三明,13,0,0,1
2020/02/11 09:17,龙岩,6,0,0,1
2020/02/10 21:58,福州,63,0,0,12
2020/02/10 21:58,莆田,51,0,0,2
2020/02/10 21:58,泉州,42,0,0,11
2020/02/10 21:58,厦门,28,0,0,3
2020/02/10 21:58,宁德,24,0,0,4
2020/02/10 21:58,南平,18,0,0,2
2020/02/10 21:58,漳州,16,0,0,3
2020/02/10 21:58,三明,13,0,0,1
2020/02/10 21:58,龙岩,6,0,0,1
2020/02/10 12:51,福州,63,0,0,11
2020/02/10 12:51,莆田,51,0,0,1
2020/02/10 12:51,泉州,42,0,0,10
2020/02/10 12:51,厦门,28,0,0,3
2020/02/10 12:51,宁德,24,0,0,4
2020/02/10 12:51,南平,18,0,0,2
2020/02/10 12:51,漳州,16,0,0,3
2020/02/10 12:51,三明,13,0,0,1
2020/02/10 12:51,龙岩,6,0,0,1
2020/02/10 09:07,福州,63,0,0,10
2020/02/10 09:07,莆田,51,0,0,1
2020/02/10 09:07,泉州,42,0,0,4
2020/02/10 09:07,厦门,28,0,0,2
2020/02/10 09:07,宁德,24,0,0,4
2020/02/10 09:07,南平,18,0,0,1
2020/02/10 09:07,漳州,16,0,0,3
2020/02/10 09:07,三明,13,0,0,1
2020/02/10 09:07,龙岩,6,0,0,0
2020/02/10 09:07,待明确地区,0,0,0,9
2020/02/09 17:06,福州,62,0,0,11
2020/02/09 17:06,莆田,47,0,0,1
2020/02/09 17:06,泉州,42,0,0,10
2020/02/09 17:06,厦门,25,0,0,2
2020/02/09 17:06,宁德,23,0,0,4
2020/02/09 17:06,漳州,16,0,0,3
2020/02/09 17:06,南平,16,0,0,2
2020/02/09 17:06,三明,13,0,0,1
2020/02/09 17:06,龙岩,6,0,0,1
2020/02/09 17:05,福州,62,0,0,11
2020/02/09 17:05,莆田,47,0,0,1
2020/02/09 17:05,泉州,42,0,0,10
2020/02/09 17:05,厦门,25,0,0,2
2020/02/09 17:05,宁德,23,0,0,4
2020/02/09 17:05,漳州,16,0,0,3
2020/02/09 17:05,南平,16,0,0,2
2020/02/09 17:05,三明,13,0,0,1
2020/02/09 17:05,龙岩,6,0,0,1
2020/02/09 16:39,福州,62,0,0,10
2020/02/09 16:39,莆田,47,0,0,1
2020/02/09 16:39,泉州,42,0,0,4
2020/02/09 16:39,厦门,25,0,0,2
2020/02/09 16:39,宁德,23,0,0,4
2020/02/09 16:39,漳州,16,0,0,3
2020/02/09 16:39,南平,16,0,0,2
2020/02/09 16:39,三明,13,0,0,1
2020/02/09 16:39,龙岩,6,0,0,1
2020/02/09 11:39,福州,62,0,0,10
2020/02/09 11:39,莆田,47,0,0,1
2020/02/09 11:39,泉州,42,0,0,4
2020/02/09 11:39,厦门,25,0,0,2
2020/02/09 11:39,宁德,23,0,0,4
2020/02/09 11:39,漳州,16,0,0,3
2020/02/09 11:39,南平,16,0,0,1
2020/02/09 11:39,三明,13,0,0,1
2020/02/09 11:39,龙岩,6,0,0,0
2020/02/09 11:38,福州,62,0,0,10
2020/02/09 11:38,莆田,47,0,0,1
2020/02/09 11:38,泉州,42,0,0,4
2020/02/09 11:38,厦门,25,0,0,2
2020/02/09 11:38,宁德,23,0,0,4
2020/02/09 11:38,漳州,16,0,0,1
2020/02/09 11:38,南平,16,0,0,1
2020/02/09 11:38,三明,13,0,0,1
2020/02/09 11:38,龙岩,6,0,0,0
2020/02/09 11:36,福州,62,0,0,10
2020/02/09 11:36,莆田,47,0,0,1
2020/02/09 11:36,泉州,42,0,0,4
2020/02/09 11:36,厦门,25,0,0,2
2020/02/09 11:36,宁德,23,0,0,4
2020/02/09 11:36,漳州,16,0,0,1
2020/02/09 11:36,南平,16,0,0,1
2020/02/09 11:36,三明,13,0,0,1
2020/02/09 11:36,龙岩,6,0,0,0
2020/02/09 11:35,福州,62,0,0,10
2020/02/09 11:35,莆田,47,0,0,1
2020/02/09 11:35,泉州,42,0,0,4
2020/02/09 11:35,厦门,25,0,0,2
2020/02/09 11:35,宁德,23,0,0,4
2020/02/09 11:35,漳州,16,0,0,1
2020/02/09 11:35,南平,16,0,0,1
2020/02/09 11:35,三明,13,0,0,1
2020/02/09 11:35,龙岩,6,0,0,0
2020/02/08 16:04,福州,59,0,0,10
2020/02/08 16:04,莆田,47,0,0,1
2020/02/08 16:04,泉州,40,0,0,4
2020/02/08 16:04,厦门,25,0,0,2
2020/02/08 16:04,宁德,21,0,0,4
2020/02/08 16:04,漳州,16,0,0,1
2020/02/08 16:04,南平,14,0,0,1
2020/02/08 16:04,三明,12,0,0,1
2020/02/08 16:04,龙岩,5,0,0,0
2020/02/08 13:44,福州,59,0,0,7
2020/02/08 13:44,莆田,47,0,0,1
2020/02/08 13:44,泉州,40,0,0,4
2020/02/08 13:44,厦门,25,0,0,2
2020/02/08 13:44,宁德,21,0,0,4
2020/02/08 13:44,漳州,16,0,0,1
2020/02/08 13:44,南平,14,0,0,1
