时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 09:03,贵阳,33,0,0,3
2020/02/13 09:03,遵义,25,0,0,1
2020/02/13 09:03,毕节,22,0,0,2
2020/02/13 09:03,黔南州,17,0,0,3
2020/02/13 09:03,铜仁,10,0,0,5
2020/02/13 09:03,六盘水,10,0,1,1
2020/02/13 09:03,黔东南州,10,0,0,2
2020/02/13 09:03,黔西南州,4,0,0,3
2020/02/13 09:03,安顺,4,0,0,0
2020/02/13 00:19,贵阳,31,0,0,3
2020/02/13 00:19,遵义,25,0,0,1
2020/02/13 00:19,毕节,22,0,0,2
2020/02/13 00:19,黔南州,17,0,0,3
2020/02/13 00:19,铜仁,10,0,0,5
2020/02/13 00:19,六盘水,10,0,1,1
2020/02/13 00:19,黔东南州,10,0,0,2
2020/02/13 00:19,黔西南州,4,0,0,1
2020/02/13 00:19,安顺,4,0,0,0
2020/02/12 17:37,贵阳,31,0,0,3
2020/02/12 17:37,遵义,25,0,0,1
2020/02/12 17:37,毕节,22,0,0,2
2020/02/12 17:37,黔南州,17,0,0,3
2020/02/12 17:37,铜仁,10,0,0,5
2020/02/12 17:37,六盘水,10,0,1,1
2020/02/12 17:37,黔东南州,10,0,0,2
2020/02/12 17:37,黔西南州,4,0,0,1
2020/02/12 17:37,安顺,4,0,0,0
2020/02/12 14:58,贵阳,29,0,0,3
2020/02/12 14:58,遵义,25,0,0,1
2020/02/12 14:58,毕节,22,0,0,2
2020/02/12 14:58,黔南州,17,0,0,3
2020/02/12 14:58,铜仁,10,0,0,5
2020/02/12 14:58,六盘水,10,0,1,1
2020/02/12 14:58,黔东南州,10,0,0,1
2020/02/12 14:58,黔西南州,4,0,0,1
2020/02/12 14:58,安顺,4,0,0,0
2020/02/12 09:05,贵阳,29,0,0,3
2020/02/12 09:05,遵义,25,0,0,1
2020/02/12 09:05,毕节,22,0,0,2
2020/02/12 09:05,黔南州,17,0,0,3
2020/02/12 09:05,铜仁,10,0,0,5
2020/02/12 09:05,六盘水,10,0,1,1
2020/02/12 09:05,黔东南州,10,0,0,1
2020/02/12 09:05,黔西南州,4,0,0,1
2020/02/12 09:05,安顺,4,0,0,0
2020/02/11 21:55,贵阳,29,0,0,2
2020/02/11 21:55,遵义,24,0,0,1
2020/02/11 21:55,毕节,21,0,0,0
2020/02/11 21:55,黔南州,16,0,0,3
2020/02/11 21:55,六盘水,10,0,1,1
2020/02/11 21:55,黔东南州,10,0,0,0
2020/02/11 21:55,铜仁,9,0,0,5
2020/02/11 21:55,黔西南州,4,0,0,1
2020/02/11 21:55,安顺,4,0,0,0
2020/02/11 21:55,待明确地区,0,0,0,4
2020/02/11 19:21,贵阳,29,0,0,2
2020/02/11 19:21,遵义,24,0,0,1
2020/02/11 19:21,毕节,21,0,0,0
2020/02/11 19:21,黔南州,16,0,0,3
2020/02/11 19:21,六盘水,10,0,1,1
2020/02/11 19:21,黔东南州,10,0,0,0
2020/02/11 19:21,铜仁,9,0,0,5
2020/02/11 19:21,黔西南州,4,0,0,1
2020/02/11 19:21,安顺,4,0,0,0
2020/02/11 18:31,贵阳,29,0,0,1
2020/02/11 18:31,遵义,24,0,0,1
2020/02/11 18:31,毕节,21,0,0,0
2020/02/11 18:31,黔南州,16,0,0,3
2020/02/11 18:31,六盘水,10,0,1,0
2020/02/11 18:31,黔东南州,10,0,0,0
2020/02/11 18:31,铜仁,9,0,0,5
2020/02/11 18:31,黔西南州,4,0,0,0
2020/02/11 18:31,安顺,4,0,0,0
2020/02/11 09:42,贵阳,29,0,0,1
2020/02/11 09:42,遵义,23,0,0,1
2020/02/11 09:42,毕节,21,0,0,0
2020/02/11 09:42,六盘水,10,0,1,0
2020/02/11 09:42,黔东南州,10,0,0,0
2020/02/11 09:42,铜仁,9,0,0,5
2020/02/11 09:42,黔南州,8,0,0,3
2020/02/11 09:42,黔西南州,4,0,0,0
2020/02/11 09:42,安顺,4,0,0,0
2020/02/10 20:28,贵阳,27,0,0,1
2020/02/10 20:28,毕节,21,0,0,0
2020/02/10 20:28,遵义,19,0,0,1
