时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 10:20,沈阳,28,0,0,7
2020/02/13 10:20,大连,16,0,0,4
2020/02/13 10:20,锦州,12,0,0,1
2020/02/13 10:20,葫芦岛,11,0,1,0
2020/02/13 10:20,盘锦,11,0,0,0
2020/02/13 10:20,阜新,8,0,0,0
2020/02/13 10:20,铁岭,7,0,0,1
2020/02/13 10:20,丹东,7,0,0,3
2020/02/13 10:20,朝阳,6,0,0,2
2020/02/13 10:20,本溪,3,0,0,1
2020/02/13 10:20,辽阳,3,0,0,1
2020/02/13 10:20,鞍山,3,0,0,0
2020/02/13 10:20,营口,1,0,0,1
2020/02/13 00:19,沈阳,28,0,0,7
2020/02/13 00:19,大连,16,0,0,4
2020/02/13 00:19,锦州,12,0,0,1
2020/02/13 00:19,葫芦岛,11,0,1,0
2020/02/13 00:19,盘锦,11,0,0,0
2020/02/13 00:19,阜新,8,0,0,0
2020/02/13 00:19,铁岭,7,0,0,1
2020/02/13 00:19,丹东,7,0,0,3
2020/02/13 00:19,朝阳,6,0,0,2
2020/02/13 00:19,本溪,3,0,0,0
2020/02/13 00:19,辽阳,3,0,0,1
2020/02/13 00:19,鞍山,3,0,0,0
2020/02/13 00:19,营口,1,0,0,1
2020/02/12 21:28,沈阳,28,0,0,7
2020/02/12 21:28,大连,16,0,0,4
2020/02/12 21:28,锦州,12,0,0,1
2020/02/12 21:28,葫芦岛,11,0,1,0
2020/02/12 21:28,盘锦,11,0,0,0
2020/02/12 21:28,阜新,8,0,0,0
2020/02/12 21:28,铁岭,7,0,0,1
2020/02/12 21:28,丹东,7,0,0,3
2020/02/12 21:28,朝阳,6,0,0,2
2020/02/12 21:28,本溪,3,0,0,0
2020/02/12 21:28,辽阳,3,0,0,1
2020/02/12 21:28,鞍山,3,0,0,0
2020/02/12 21:28,营口,1,0,0,1
2020/02/12 19:08,沈阳,28,0,0,7
2020/02/12 19:08,大连,16,0,0,4
2020/02/12 19:08,锦州,12,0,0,1
2020/02/12 19:08,葫芦岛,11,0,0,0
2020/02/12 19:08,盘锦,11,0,0,0
2020/02/12 19:08,阜新,8,0,0,0
2020/02/12 19:08,铁岭,7,0,0,1
2020/02/12 19:08,丹东,7,0,0,3
2020/02/12 19:08,朝阳,6,0,0,2
2020/02/12 19:08,本溪,3,0,0,0
2020/02/12 19:08,辽阳,3,0,0,1
2020/02/12 19:08,鞍山,3,0,0,0
2020/02/12 19:08,营口,1,0,0,1
2020/02/12 16:35,沈阳,28,0,0,7
2020/02/12 16:35,大连,16,0,0,4
2020/02/12 16:35,锦州,12,0,0,1
2020/02/12 16:35,葫芦岛,11,0,0,0
2020/02/12 16:35,盘锦,11,0,0,0
2020/02/12 16:35,阜新,8,0,0,0
2020/02/12 16:35,铁岭,7,0,0,1
2020/02/12 16:35,丹东,7,0,0,3
2020/02/12 16:35,朝阳,6,0,0,2
2020/02/12 16:35,本溪,3,0,0,0
2020/02/12 16:35,辽阳,3,0,0,0
2020/02/12 16:35,鞍山,3,0,0,0
2020/02/12 16:35,营口,1,0,0,1
2020/02/12 14:58,沈阳,28,0,0,7
2020/02/12 14:58,大连,16,0,0,3
2020/02/12 14:58,锦州,12,0,0,1
2020/02/12 14:58,葫芦岛,11,0,0,0
2020/02/12 14:58,盘锦,11,0,0,0
2020/02/12 14:58,阜新,8,0,0,0
2020/02/12 14:58,铁岭,7,0,0,1
2020/02/12 14:58,丹东,7,0,0,3
2020/02/12 14:58,朝阳,6,0,0,2
2020/02/12 14:58,本溪,3,0,0,0
2020/02/12 14:58,辽阳,3,0,0,0
2020/02/12 14:58,鞍山,3,0,0,0
2020/02/12 14:58,营口,1,0,0,1
2020/02/12 14:58,待明确地区,0,0,0,1
2020/02/12 08:40,沈阳,28,0,0,7
2020/02/12 08:40,大连,16,0,0,3
2020/02/12 08:40,锦州,12,0,0,1
2020/02/12 08:40,葫芦岛,11,0,0,0
2020/02/12 08:40,盘锦,11,0,0,0
2020/02/12 08:40,阜新,8,0,0,0
2020/02/12 08:40,铁岭,7,0,0,1
2020/02/12 08:40,丹东,7,0,0,3
2020/02/12 08:40,朝阳,6,0,0,2
2020/02/12 08:40,本溪,3,0,0,0
2020/02/12 08:40,辽阳,3,0,0,0
2020/02/12 08:40,鞍山,3,0,0,0
2020/02/12 08:40,营口,1,0,0,1
2020/02/12 08:40,待明确地区,0,0,0,1
2020/02/11 20:46,沈阳,27,0,0,7
2020/02/11 20:46,大连,16,0,0,3
2020/02/11 20:46,盘锦,11,0,0,0
2020/02/11 20:46,锦州,11,0,0,1
2020/02/11 20:46,葫芦岛,11,0,0,0
2020/02/11 20:46,阜新,8,0,0,0
2020/02/11 20:46,丹东,7,0,0,3
2020/02/11 20:46,朝阳,6,0,0,2
2020/02/11 20:46,铁岭,4,0,0,1
2020/02/11 20:46,本溪,3,0,0,0
2020/02/11 20:46,辽阳,3,0,0,0
2020/02/11 20:46,鞍山,3,0,0,0
2020/02/11 20:46,营口,1,0,0,1
2020/02/11 20:46,待明确地区,0,0,0,1
2020/02/11 17:47,沈阳,27,0,0,7
2020/02/11 17:47,大连,16,0,0,3
2020/02/11 17:47,盘锦,11,0,0,0
2020/02/11 17:47,锦州,11,0,0,1
2020/02/11 17:47,葫芦岛,11,0,0,0
2020/02/11 17:47,阜新,8,0,0,0
2020/02/11 17:47,丹东,7,0,0,3
2020/02/11 17:47,朝阳,6,0,0,2
2020/02/11 17:47,铁岭,4,0,0,1
2020/02/11 17:47,本溪,3,0,0,0
2020/02/11 17:47,辽阳,3,0,0,0
2020/02/11 17:47,鞍山,3,0,0,0
2020/02/11 17:47,营口,1,0,0,1
2020/02/11 15:19,沈阳,26,0,0,7
2020/02/11 15:19,大连,16,0,0,3
2020/02/11 15:19,盘锦,11,0,0,0
2020/02/11 15:19,锦州,11,0,0,1
2020/02/11 15:19,葫芦岛,9,0,0,0
2020/02/11 15:19,阜新,8,0,0,0
2020/02/11 15:19,丹东,7,0,0,3
2020/02/11 15:19,朝阳,6,0,0,2
2020/02/11 15:19,铁岭,4,0,0,0
2020/02/11 15:19,本溪,3,0,0,0
2020/02/11 15:19,辽阳,3,0,0,0
2020/02/11 15:19,鞍山,3,0,0,0
2020/02/11 15:19,营口,1,0,0,1
2020/02/11 14:58,沈阳,26,0,0,6
2020/02/11 14:58,大连,16,0,0,3
