时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 16:05,万州区,103,0,1,23
2020/02/13 16:05,江北区,25,0,0,2
2020/02/13 16:05,云阳县,22,0,0,12
2020/02/13 16:05,合川区,21,0,0,4
2020/02/13 16:05,綦江区,21,0,0,1
2020/02/13 16:05,九龙坡区,20,0,1,3
2020/02/13 16:05,开州区,20,0,1,11
2020/02/13 16:05,垫江县,20,0,0,1
2020/02/13 16:05,渝中区,20,0,0,1
2020/02/13 16:05,忠县,19,0,0,7
2020/02/13 16:05,奉节县,19,0,0,2
2020/02/13 16:05,长寿区,17,0,0,8
2020/02/13 16:05,两江新区,17,0,0,3
2020/02/13 16:05,潼南区,16,0,0,0
2020/02/13 16:05,渝北区,15,0,0,3
2020/02/13 16:05,大足区,14,0,0,1
2020/02/13 16:05,石柱县,14,0,0,3
2020/02/13 16:05,南岸区,14,0,0,1
2020/02/13 16:05,巫溪县,13,0,0,7
2020/02/13 16:05,丰都县,10,0,0,1
2020/02/13 16:05,巫山县,10,0,0,5
2020/02/13 16:05,璧山区,8,0,0,2
2020/02/13 16:05,铜梁区,8,0,0,0
2020/02/13 16:05,荣昌区,8,0,0,0
2020/02/13 16:05,沙坪坝区,8,0,0,0
2020/02/13 16:05,大渡口区,7,0,0,3
2020/02/13 16:05,巴南区,6,0,0,1
2020/02/13 16:05,永川区,5,0,0,1
2020/02/13 16:05,江津区,4,0,0,1
2020/02/13 16:05,梁平区,4,0,0,2
2020/02/13 16:05,高新区,4,0,0,0
2020/02/13 16:05,涪陵区,3,0,0,0
2020/02/13 16:05,城口县,2,0,0,2
2020/02/13 16:05,黔江区,2,0,0,2
2020/02/13 16:05,彭水县,2,0,0,0
2020/02/13 16:05,秀山县,1,0,0,1
2020/02/13 16:05,武隆区,1,0,0,0
2020/02/13 16:05,酉阳县,1,0,0,0
2020/02/13 16:05,万盛经开区,1,0,0,0
2020/02/13 16:00,万州区,103,0,1,16
2020/02/13 16:00,江北区,25,0,0,2
2020/02/13 16:00,合川区,21,0,0,3
2020/02/13 16:00,綦江区,21,0,0,1
2020/02/13 16:00,云阳县,21,0,0,11
2020/02/13 16:00,九龙坡区,20,0,1,3
2020/02/13 16:00,开州区,20,0,1,11
2020/02/13 16:00,垫江县,20,0,0,1
2020/02/13 16:00,渝中区,20,0,0,1
2020/02/13 16:00,忠县,19,0,0,7
2020/02/13 16:00,奉节县,18,0,0,2
2020/02/13 16:00,长寿区,17,0,0,8
2020/02/13 16:00,两江新区,17,0,0,3
2020/02/13 16:00,渝北区,15,0,0,3
2020/02/13 16:00,潼南区,15,0,0,0
2020/02/13 16:00,大足区,14,0,0,1
2020/02/13 16:00,石柱县,14,0,0,3
2020/02/13 16:00,巫溪县,13,0,0,6
2020/02/13 16:00,南岸区,11,0,0,1
2020/02/13 16:00,丰都县,10,0,0,1
2020/02/13 16:00,巫山县,10,0,0,4
2020/02/13 16:00,璧山区,8,0,0,2
2020/02/13 16:00,铜梁区,8,0,0,0
2020/02/13 16:00,荣昌区,8,0,0,0
2020/02/13 16:00,沙坪坝区,8,0,0,0
2020/02/13 16:00,大渡口区,7,0,0,3
2020/02/13 16:00,巴南区,5,0,0,1
2020/02/13 16:00,永川区,5,0,0,1
2020/02/13 16:00,江津区,4,0,0,1
2020/02/13 16:00,梁平区,4,0,0,2
2020/02/13 16:00,高新区,4,0,0,0
2020/02/13 16:00,涪陵区,3,0,0,0
2020/02/13 16:00,城口县,2,0,0,1
2020/02/13 16:00,黔江区,2,0,0,2
2020/02/13 16:00,彭水县,2,0,0,0
2020/02/13 16:00,秀山县,1,0,0,1
2020/02/13 16:00,武隆区,1,0,0,0
2020/02/13 16:00,酉阳县,1,0,0,0
2020/02/13 16:00,万盛经开区,1,0,0,0
2020/02/13 15:42,万州区,103,0,1,16
2020/02/13 15:42,江北区,25,0,0,2
2020/02/13 15:42,合川区,21,0,0,3
2020/02/13 15:42,綦江区,21,0,0,1
2020/02/13 15:42,云阳县,21,0,0,11
2020/02/13 15:42,九龙坡区,20,0,1,3
