时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 11:57,西安,114,0,0,15
2020/02/13 11:57,安康,22,0,0,5
2020/02/13 11:57,汉中,21,0,0,1
2020/02/13 11:57,咸阳,17,0,0,4
2020/02/13 11:57,渭南,14,0,0,0
2020/02/13 11:57,宝鸡,13,0,0,7
2020/02/13 11:57,延安,8,0,0,6
2020/02/13 11:57,铜川,8,0,0,4
2020/02/13 11:57,商洛,7,0,0,1
2020/02/13 11:57,榆林,3,0,0,1
2020/02/13 11:57,韩城,1,0,0,0
2020/02/13 11:57,杨凌,1,0,0,0
2020/02/13 10:13,西安,114,0,0,15
2020/02/13 10:13,安康,22,0,0,5
2020/02/13 10:13,汉中,21,0,0,1
2020/02/13 10:13,咸阳,17,0,0,4
2020/02/13 10:13,渭南,14,0,0,0
2020/02/13 10:13,宝鸡,13,0,0,5
2020/02/13 10:13,延安,8,0,0,6
2020/02/13 10:13,铜川,8,0,0,4
2020/02/13 10:13,商洛,7,0,0,1
2020/02/13 10:13,榆林,3,0,0,1
2020/02/13 10:13,韩城,1,0,0,0
2020/02/13 10:13,杨凌,1,0,0,0
2020/02/13 00:19,西安,110,0,0,15
2020/02/13 00:19,安康,22,0,0,5
2020/02/13 00:19,汉中,21,0,0,1
2020/02/13 00:19,咸阳,17,0,0,4
2020/02/13 00:19,渭南,14,0,0,0
2020/02/13 00:19,宝鸡,13,0,0,5
2020/02/13 00:19,延安,8,0,0,6
2020/02/13 00:19,铜川,8,0,0,4
2020/02/13 00:19,商洛,7,0,0,1
2020/02/13 00:19,榆林,3,0,0,1
2020/02/13 00:19,韩城,1,0,0,0
2020/02/13 00:19,杨凌,1,0,0,0
2020/02/13 00:19,待明确地区,0,0,0,1
2020/02/12 19:08,西安,110,0,0,15
2020/02/12 19:08,安康,22,0,0,5
2020/02/12 19:08,汉中,21,0,0,1
2020/02/12 19:08,咸阳,17,0,0,4
2020/02/12 19:08,渭南,14,0,0,0
2020/02/12 19:08,宝鸡,13,0,0,5
2020/02/12 19:08,延安,8,0,0,6
2020/02/12 19:08,铜川,8,0,0,4
2020/02/12 19:08,商洛,7,0,0,1
2020/02/12 19:08,榆林,3,0,0,1
2020/02/12 19:08,韩城,1,0,0,0
2020/02/12 19:08,杨凌,1,0,0,0
2020/02/12 19:08,待明确地区,0,0,0,1
2020/02/12 18:03,西安,110,0,0,15
2020/02/12 18:03,安康,22,0,0,5
2020/02/12 18:03,汉中,21,0,0,1
2020/02/12 18:03,咸阳,17,0,0,4
2020/02/12 18:03,渭南,14,0,0,0
2020/02/12 18:03,宝鸡,13,0,0,5
2020/02/12 18:03,延安,8,0,0,3
2020/02/12 18:03,铜川,8,0,0,4
2020/02/12 18:03,商洛,7,0,0,1
2020/02/12 18:03,榆林,3,0,0,1
2020/02/12 18:03,韩城,1,0,0,0
2020/02/12 18:03,杨凌,1,0,0,0
2020/02/12 18:03,待明确地区,0,0,0,1
2020/02/12 16:00,西安,110,0,0,12
2020/02/12 16:00,安康,22,0,0,5
2020/02/12 16:00,汉中,21,0,0,1
2020/02/12 16:00,咸阳,17,0,0,4
2020/02/12 16:00,渭南,14,0,0,0
2020/02/12 16:00,宝鸡,13,0,0,5
2020/02/12 16:00,延安,8,0,0,2
2020/02/12 16:00,铜川,8,0,0,4
2020/02/12 16:00,商洛,7,0,0,1
2020/02/12 16:00,榆林,3,0,0,1
2020/02/12 16:00,韩城,1,0,0,0
2020/02/12 16:00,杨凌,1,0,0,0
2020/02/12 16:00,待明确地区,0,0,0,4
2020/02/12 14:58,西安,110,0,0,12
2020/02/12 14:58,安康,22,0,0,5
2020/02/12 14:58,汉中,21,0,0,1
2020/02/12 14:58,咸阳,17,0,0,4
2020/02/12 14:58,渭南,14,0,0,0
2020/02/12 14:58,宝鸡,13,0,0,2
2020/02/12 14:58,延安,8,0,0,2
2020/02/12 14:58,铜川,8,0,0,4
2020/02/12 14:58,商洛,7,0,0,1
2020/02/12 14:58,榆林,3,0,0,1
2020/02/12 14:58,韩城,1,0,0,0
2020/02/12 14:58,杨凌,1,0,0,0
2020/02/12 14:58,待明确地区,0,0,0,4
2020/02/12 10:14,西安,110,0,0,12
2020/02/12 10:14,安康,22,0,0,5
2020/02/12 10:14,汉中,21,0,0,1
2020/02/12 10:14,咸阳,17,0,0,4
2020/02/12 10:14,渭南,14,0,0,0
2020/02/12 10:14,宝鸡,13,0,0,2
2020/02/12 10:14,延安,8,0,0,2
2020/02/12 10:14,铜川,8,0,0,4
2020/02/12 10:14,商洛,7,0,0,1
2020/02/12 10:14,榆林,3,0,0,1
2020/02/12 10:14,韩城,1,0,0,0
2020/02/12 10:14,杨凌,1,0,0,0
2020/02/12 10:14,待明确地区,0,0,0,4
2020/02/11 14:01,西安,104,0,0,12
2020/02/11 14:01,安康,22,0,0,5
2020/02/11 14:01,汉中,21,0,0,1
2020/02/11 14:01,咸阳,17,0,0,4
2020/02/11 14:01,渭南,14,0,0,0
2020/02/11 14:01,宝鸡,13,0,0,2
2020/02/11 14:01,延安,8,0,0,2
2020/02/11 14:01,铜川,8,0,0,4
2020/02/11 14:01,商洛,7,0,0,1
2020/02/11 14:01,榆林,3,0,0,1
2020/02/11 14:01,韩城,1,0,0,0
2020/02/11 14:01,杨凌,1,0,0,0
2020/02/11 10:21,西安,104,0,0,10
2020/02/11 10:21,安康,22,0,0,5
2020/02/11 10:21,汉中,21,0,0,0
2020/02/11 10:21,咸阳,17,0,0,4
2020/02/11 10:21,渭南,14,0,0,0
2020/02/11 10:21,宝鸡,13,0,0,2
2020/02/11 10:21,延安,8,0,0,2
2020/02/11 10:21,铜川,8,0,0,4
2020/02/11 10:21,商洛,7,0,0,1
2020/02/11 10:21,榆林,3,0,0,1
2020/02/11 10:21,韩城,1,0,0,0
2020/02/11 10:21,杨凌,1,0,0,0
2020/02/11 10:21,待明确地区,0,0,0,2
2020/02/10 21:20,西安,98,0,0,10
2020/02/10 21:20,安康,22,0,0,5
2020/02/10 21:20,汉中,21,0,0,0
2020/02/10 21:20,咸阳,17,0,0,4
2020/02/10 21:20,渭南,14,0,0,0
2020/02/10 21:20,宝鸡,13,0,0,2
2020/02/10 21:20,延安,8,0,0,2
2020/02/10 21:20,铜川,8,0,0,4
2020/02/10 21:20,商洛,7,0,0,1
2020/02/10 21:20,榆林,3,0,0,1
2020/02/10 21:20,韩城,1,0,0,0
2020/02/10 21:20,杨凌,1,0,0,0
2020/02/10 21:20,待明确地区,0,0,0,1
2020/02/10 16:31,西安,98,0,0,10
2020/02/10 16:31,安康,22,0,0,5
2020/02/10 16:31,汉中,21,0,0,0
2020/02/10 16:31,咸阳,17,0,0,2
2020/02/10 16:31,渭南,14,0,0,0
2020/02/10 16:31,宝鸡,13,0,0,2
2020/02/10 16:31,延安,8,0,0,1
2020/02/10 16:31,铜川,8,0,0,4
2020/02/10 16:31,商洛,7,0,0,1
2020/02/10 16:31,榆林,3,0,0,1
2020/02/10 16:31,韩城,1,0,0,0
2020/02/10 16:31,杨凌,1,0,0,0
2020/02/10 16:31,待明确地区,0,0,0,1
2020/02/10 10:15,西安,98,0,0,10
2020/02/10 10:15,安康,22,0,0,5
2020/02/10 10:15,汉中,21,0,0,0
2020/02/10 10:15,咸阳,17,0,0,2
2020/02/10 10:15,渭南,14,0,0,0
2020/02/10 10:15,宝鸡,13,0,0,2
2020/02/10 10:15,延安,8,0,0,1
2020/02/10 10:15,铜川,8,0,0,4
2020/02/10 10:15,商洛,7,0,0,1
2020/02/10 10:15,榆林,3,0,0,0
2020/02/10 10:15,韩城,1,0,0,0
2020/02/10 10:15,杨凌,1,0,0,0
2020/02/10 10:15,待明确地区,0,0,0,1
2020/02/09 11:02,西安,96,0,0,10
2020/02/09 11:02,安康,21,0,0,5
2020/02/09 11:02,汉中,21,0,0,0
2020/02/09 11:02,咸阳,16,0,0,2
2020/02/09 11:02,宝鸡,13,0,0,2
2020/02/09 11:02,渭南,13,0,0,0
2020/02/09 11:02,延安,8,0,0,1
2020/02/09 11:02,铜川,8,0,0,4
2020/02/09 11:02,商洛,7,0,0,1
2020/02/09 11:02,榆林,3,0,0,0
2020/02/09 11:02,韩城,1,0,0,0
2020/02/09 11:02,杨凌,1,0,0,0
2020/02/09 10:12,西安,96,0,0,10
2020/02/09 10:12,安康,21,0,0,1
2020/02/09 10:12,汉中,21,0,0,0
2020/02/09 10:12,咸阳,16,0,0,2
2020/02/09 10:12,宝鸡,13,0,0,2
2020/02/09 10:12,渭南,13,0,0,0
2020/02/09 10:12,延安,8,0,0,0
2020/02/09 10:12,铜川,8,0,0,4
2020/02/09 10:12,商洛,7,0,0,1
2020/02/09 10:12,榆林,3,0,0,0
2020/02/09 10:12,韩城,1,0,0,0
2020/02/09 10:12,杨凌,1,0,0,0
2020/02/08 18:07,西安,88,0,0,10
2020/02/08 18:07,安康,21,0,0,1
2020/02/08 18:07,汉中,21,0,0,0
2020/02/08 18:07,咸阳,16,0,0,2
2020/02/08 18:07,宝鸡,12,0,0,2
2020/02/08 18:07,渭南,9,0,0,0
2020/02/08 18:07,铜川,8,0,0,4
2020/02/08 18:07,延安,8,0,0,0
2020/02/08 18:07,商洛,7,0,0,1
2020/02/08 18:07,榆林,3,0,0,0
2020/02/08 18:07,韩城,1,0,0,0
2020/02/08 18:07,杨凌,1,0,0,0
2020/02/08 18:06,西安,88,0,0,10
2020/02/08 18:06,安康,21,0,0,1
2020/02/08 18:06,汉中,21,0,0,0
2020/02/08 18:06,咸阳,16,0,0,2
2020/02/08 18:06,宝鸡,12,0,0,2
2020/02/08 18:06,渭南,9,0,0,0
2020/02/08 18:06,铜川,8,0,0,4
2020/02/08 18:06,延安,8,0,0,0
2020/02/08 18:06,商洛,7,0,0,1
2020/02/08 18:06,榆林,3,0,0,0
2020/02/08 18:06,韩城,1,0,0,0
2020/02/08 18:06,杨凌,1,0,0,0
2020/02/08 13:55,西安,88,0,0,9
2020/02/08 13:55,安康,21,0,0,1
2020/02/08 13:55,汉中,21,0,0,0
2020/02/08 13:55,咸阳,16,0,0,2
2020/02/08 13:55,宝鸡,12,0,0,2
2020/02/08 13:55,渭南,9,0,0,0
2020/02/08 13:55,铜川,8,0,0,4
2020/02/08 13:55,延安,8,0,0,0
2020/02/08 13:55,商洛,7,0,0,1
