时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 00:19,西宁,15,0,0,8
2020/02/13 00:19,海北州,3,0,0,1
2020/02/12 16:00,西宁,15,0,0,8
2020/02/12 16:00,海北州,3,0,0,1
2020/02/12 14:58,西宁,15,0,0,5
2020/02/12 14:58,海北州,3,0,0,0
2020/02/11 19:21,西宁,15,0,0,5
2020/02/11 19:21,海北州,3,0,0,0
2020/02/06 10:12,西宁,15,0,0,3
2020/02/06 10:12,海北州,3,0,0,0
2020/02/05 11:04,西宁,14,0,0,3
2020/02/05 11:04,海北州,3,0,0,0
2020/02/05 11:03,西宁,14,0,0,3
2020/02/05 11:03,海北州,3,0,0,0
2020/02/05 09:14,西宁,14,0,0,0
2020/02/05 09:14,海北州,3,0,0,0
2020/02/04 20:25,西宁,12,0,0,0
2020/02/04 20:25,海北州,3,0,0,0
2020/02/04 09:32,西宁,12,0,0,0
2020/02/04 09:32,海北州,3,0,0,0
2020/02/03 11:09,西宁,12,0,0,0
2020/02/03 11:09,海北州,1,0,0,0
2020/02/03 10:40,西宁,12,0,0,0
2020/02/03 10:40,北海州,1,0,0,0
2020/02/03 10:37,西宁,12,0,0,0
2020/02/03 10:37,北海州,1,0,0,0
2020/02/02 16:18,西宁,9,0,0,0
2020/02/02 16:18,待明确地区,2,0,0,0
2020/02/02 13:30,西宁,9,0,0,0
2020/02/01 20:57,西宁,9,0,0,0
2020/02/01 18:29,西宁市,9,0,0,0
