时间,城市,确诊人数,疑似病例,死亡人数,治愈人数
2020/02/13 08:10,哈尔滨,159,0,1,15
2020/02/13 08:10,绥化,45,0,4,3
2020/02/13 08:10,鸡西,44,0,0,1
2020/02/13 08:10,双鸭山,39,0,2,1
2020/02/13 08:10,齐齐哈尔,33,0,1,4
2020/02/13 08:10,七台河,16,0,0,0
2020/02/13 08:10,大庆,15,0,1,0
2020/02/13 08:10,佳木斯,15,0,0,5
2020/02/13 08:10,牡丹江,12,0,0,1
2020/02/13 08:10,黑河,10,0,0,0
2020/02/13 08:10,鹤岗,5,0,0,1
2020/02/13 08:10,大兴安岭,2,0,0,0
2020/02/13 00:19,哈尔滨,150,0,0,15
2020/02/13 00:19,绥化,43,0,4,3
2020/02/13 00:19,鸡西,43,0,0,1
2020/02/13 00:19,双鸭山,39,0,2,1
2020/02/13 00:19,齐齐哈尔,33,0,1,4
2020/02/13 00:19,大庆,15,0,1,0
2020/02/13 00:19,佳木斯,15,0,0,5
2020/02/13 00:19,七台河,15,0,0,0
2020/02/13 00:19,牡丹江,12,0,0,1
2020/02/13 00:19,黑河,6,0,0,0
2020/02/13 00:19,鹤岗,5,0,0,1
2020/02/13 00:19,大兴安岭,2,0,0,0
2020/02/12 22:07,哈尔滨,150,0,0,15
2020/02/12 22:07,绥化,43,0,4,3
2020/02/12 22:07,鸡西,43,0,0,1
2020/02/12 22:07,双鸭山,39,0,2,1
2020/02/12 22:07,齐齐哈尔,33,0,1,4
2020/02/12 22:07,大庆,15,0,1,0
2020/02/12 22:07,佳木斯,15,0,0,5
2020/02/12 22:07,七台河,15,0,0,0
2020/02/12 22:07,牡丹江,12,0,0,1
2020/02/12 22:07,黑河,6,0,0,0
2020/02/12 22:07,鹤岗,5,0,0,1
2020/02/12 22:07,大兴安岭,2,0,0,0
2020/02/12 14:58,哈尔滨,150,0,0,15
2020/02/12 14:58,绥化,43,0,4,3
2020/02/12 14:58,鸡西,43,0,0,1
2020/02/12 14:58,双鸭山,39,0,2,1
2020/02/12 14:58,齐齐哈尔,33,0,1,1
2020/02/12 14:58,大庆,15,0,1,0
2020/02/12 14:58,佳木斯,15,0,0,5
2020/02/12 14:58,七台河,15,0,0,0
2020/02/12 14:58,牡丹江,12,0,0,1
